Precinct,"Kelly L. Noland
Democratic","Jamie Murray
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,546",837,"3,383","7,937","11,320"
"Chesterfield Township, Precinct 1",178,57,235,522,757
"Chesterfield Township, Precinct 2",155,45,200,445,645
"Chesterfield Township, Precinct 4",107,35,142,310,452
"Chesterfield Township, Precinct 5",154,58,212,438,650
"Chesterfield Township, Precinct 6",128,40,168,386,554
"Chesterfield Township, Precinct 7",85,35,120,286,406
"Chesterfield Township, Precinct 9",170,33,203,377,580
"Chesterfield Township, Precinct 10",158,51,209,759,968
"Chesterfield Township, Precinct 12",169,44,213,323,536
"Chesterfield Township, Precinct 13",146,75,221,486,707
"Chesterfield Township, Precinct 14",101,13,114,283,397
"Chesterfield Township, Precinct 15",163,78,241,543,784
"Chesterfield Township, Precinct 16",147,29,176,432,608
"Chesterfield Township, Precinct 17",59,30,89,119,208
"Chesterfield Township, Precinct 18",85,20,105,256,361
"New Baltimore City, Precinct 1",84,28,112,280,392
"New Baltimore City, Precinct 2",60,18,78,264,342
"New Baltimore City, Precinct 3",123,59,182,559,741
"New Baltimore City, Precinct 4",151,47,198,429,627
"New Baltimore City, Precinct 5",123,42,165,440,605
Totals,"2,546",837,"3,383","7,937","11,320"

