Precinct,"No Nomination",Overvotes/Undervotes,"Total Ballots Cast"
Totals,-,"16,731","16,731"
"Clinton Township, Precinct 1",-,447,447
"Clinton Township, Precinct 2",-,553,553
"Clinton Township, Precinct 3",-,579,579
"Clinton Township, Precinct 7",-,502,502
"Clinton Township, Precinct 8",-,739,739
"Clinton Township, Precinct 9",-,866,866
"Clinton Township, Precinct 10",-,513,513
"Clinton Township, Precinct 11",-,759,759
"Clinton Township, Precinct 12",-,495,495
"Clinton Township, Precinct 13",-,313,313
"Clinton Township, Precinct 15",-,604,604
"Clinton Township, Precinct 16",-,935,935
"Clinton Township, Precinct 17",-,426,426
"Clinton Township, Precinct 18",-,531,531
"Clinton Township, Precinct 19",-,375,375
"Clinton Township, Precinct 22",-,586,586
"Clinton Township, Precinct 23",-,751,751
"Macomb Township, Precinct 1",-,572,572
"Macomb Township, Precinct 2",-,440,440
"Macomb Township, Precinct 3",-,677,677
"Macomb Township, Precinct 4",-,397,397
"Macomb Township, Precinct 10",-,806,806
"Macomb Township, Precinct 11",-,618,618
"Macomb Township, Precinct 15",-,745,745
"Macomb Township, Precinct 16",-,612,612
"Shelby Township, Precinct 27",-,645,645
"Shelby Township, Precinct 28",-,874,874
"Shelby Township, Precinct 29",-,371,371
Totals,-,"16,731","16,731"

