Precinct,"Mark A. Hackel
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Fraser City, Precinct 4",215,215,294,509
"Fraser City, Precinct 5",85,85,92,177
"Fraser City, Precinct 6",284,284,437,721
"Fraser City, Precinct 7",183,183,181,364
"Village of Grosse Pointe Shores City, Precinct 3",2,2,36,38
"Harrison Township, Precinct 1",202,202,327,529
"Harrison Township, Precinct 2",319,319,432,751
"Harrison Township, Precinct 3",211,211,476,687
"Harrison Township, Precinct 4",221,221,452,673
"Harrison Township, Precinct 5",176,176,665,841
"Harrison Township, Precinct 6",225,225,459,684
"Harrison Township, Precinct 7",227,227,561,788
"Harrison Township, Precinct 8",180,180,210,390
"Harrison Township, Precinct 9",162,162,536,698
"Harrison Township, Precinct 10",192,192,422,614
"Lenox Township, Precinct 1",102,102,346,448
"Lenox Township, Precinct 2",156,156,424,580
"Lenox Township, Precinct 3",209,209,271,480
"Lenox Township, Precinct 4",63,63,101,164
"Macomb Township, Precinct 1",217,217,355,572
"Macomb Township, Precinct 2",183,183,257,440
"Macomb Township, Precinct 3",273,273,404,677
"Macomb Township, Precinct 4",155,155,242,397
"Macomb Township, Precinct 5",167,167,187,354
"Macomb Township, Precinct 6",200,200,255,455
"Macomb Township, Precinct 7",186,186,383,569
"Macomb Township, Precinct 8",269,269,514,783
"Macomb Township, Precinct 9",62,62,139,201
"Macomb Township, Precinct 10",292,292,514,806
"Macomb Township, Precinct 11",210,210,408,618
"Macomb Township, Precinct 12",56,56,189,245
"Macomb Township, Precinct 13",277,277,515,792
"Macomb Township, Precinct 14",218,218,358,576
"Macomb Township, Precinct 15",194,194,551,745
"Macomb Township, Precinct 16",203,203,409,612
"Macomb Township, Precinct 17",217,217,506,723
"Macomb Township, Precinct 18",87,87,75,162
"Macomb Township, Precinct 19",198,198,419,617
"Macomb Township, Precinct 20",198,198,437,635
"Macomb Township, Precinct 21",179,179,323,502
"Macomb Township, Precinct 22",124,124,322,446
"Macomb Township, Precinct 23",358,358,549,907
"Macomb Township, Precinct 24",259,259,444,703
"Macomb Township, Precinct 25",111,111,278,389
"Macomb Township, Precinct 26",121,121,274,395
"Macomb Township, Precinct 27",213,213,451,664
"Macomb Township, Precinct 28",134,134,330,464
"Macomb Township, Precinct 29",221,221,572,793
"Macomb Township, Precinct 30",172,172,405,577
"Macomb Township, Precinct 31",131,131,281,412
"Macomb Township, Precinct 32",286,286,583,869
"Macomb Township, Precinct 33",139,139,277,416
"Macomb Township, Precinct 34",93,93,286,379
"Macomb Township, Precinct 35",159,159,368,527
"Memphis City, Precinct 1",32,32,147,179
"Mount Clemens City, Precinct 1",202,202,89,291
"Mount Clemens City, Precinct 2",218,218,256,474
"Mount Clemens City, Precinct 3",263,263,288,551
"Mount Clemens City, Precinct 4",125,125,141,266
"Mount Clemens City, Precinct 6",317,317,222,539
"Mount Clemens City, Precinct 9",233,233,321,554
"New Baltimore City, Precinct 1",115,115,277,392
"New Baltimore City, Precinct 2",82,82,260,342
"New Baltimore City, Precinct 3",193,193,548,741
"New Baltimore City, Precinct 4",204,204,423,627
"New Baltimore City, Precinct 5",171,171,434,605
"Ray Township, Precinct 1",89,89,423,512
"Ray Township, Precinct 2",125,125,502,627
"Richmond City, Precinct 1",206,206,523,729
"Richmond City, Precinct 2",145,145,404,549
"Richmond Township, Precinct 1",57,57,341,398
"Richmond Township, Precinct 2",91,91,360,451
"Roseville City, Precinct 1",191,191,229,420
"Roseville City, Precinct 2",215,215,326,541
"Roseville City, Precinct 3",230,230,154,384
"Roseville City, Precinct 4",135,135,155,290
"Roseville City, Precinct 5",193,193,206,399
"Roseville City, Precinct 6",141,141,192,333
"Roseville City, Precinct 7",184,184,182,366
"Roseville City, Precinct 8",244,244,239,483
"Roseville City, Precinct 9",291,291,349,640
"Roseville City, Precinct 10",137,137,178,315
"Roseville City, Precinct 11",212,212,212,424
"Roseville City, Precinct 12",178,178,170,348
"Roseville City, Precinct 13",195,195,169,364
"Roseville City, Precinct 14",170,170,208,378
"Roseville City, Precinct 15",260,260,225,485
"Roseville City, Precinct 16",129,129,143,272
"Roseville City, Precinct 17",105,105,99,204
"Roseville City, Precinct 18",98,98,36,134
"Shelby Township, Precinct 1",110,110,328,438
"Shelby Township, Precinct 2",196,196,498,694
"Shelby Township, Precinct 3",93,93,217,310
"Shelby Township, Precinct 4",157,157,423,580
"Shelby Township, Precinct 5",177,177,259,436
"Shelby Township, Precinct 6",129,129,207,336
"Shelby Township, Precinct 7",198,198,478,676
"Shelby Township, Precinct 8",96,96,263,359
"Shelby Township, Precinct 9",119,119,173,292
"Shelby Township, Precinct 10",161,161,340,501
"Shelby Township, Precinct 11",205,205,373,578
"Shelby Township, Precinct 12",105,105,356,461
"Shelby Township, Precinct 13",104,104,261,365
"Shelby Township, Precinct 14",189,189,531,720
"Shelby Township, Precinct 15",201,201,525,726
"Shelby Township, Precinct 16",283,283,737,"1,020"
"Shelby Township, Precinct 17",123,123,271,394
"Shelby Township, Precinct 18",221,221,385,606
"Shelby Township, Precinct 19",137,137,372,509
"Shelby Township, Precinct 20",131,131,269,400
"Shelby Township, Precinct 21",110,110,111,221
"Shelby Township, Precinct 22",306,306,703,"1,009"
"Shelby Township, Precinct 23",173,173,683,856
"Shelby Township, Precinct 24",243,243,844,"1,087"
"Shelby Township, Precinct 25",194,194,525,719
"Shelby Township, Precinct 26",300,300,450,750
"Shelby Township, Precinct 27",239,239,406,645
"Shelby Township, Precinct 28",335,335,539,874
"Shelby Township, Precinct 29",111,111,260,371
"Shelby Township, Precinct 30",168,168,391,559
"Shelby Township, Precinct 31",94,94,345,439
"Shelby Township, Precinct 32",80,80,240,320
"St. Clair Shores City, Precinct 1",366,366,281,647
"St. Clair Shores City, Precinct 2",410,410,425,835
"St. Clair Shores City, Precinct 3",448,448,645,"1,093"
"St. Clair Shores City, Precinct 4",349,349,382,731
"St. Clair Shores City, Precinct 5",355,355,456,811
"St. Clair Shores City, Precinct 6",218,218,202,420
"St. Clair Shores City, Precinct 7",370,370,435,805
"St. Clair Shores City, Precinct 8",167,167,251,418
"St. Clair Shores City, Precinct 9",311,311,380,691
"St. Clair Shores City, Precinct 10",381,381,544,925
"St. Clair Shores City, Precinct 11",325,325,362,687
"St. Clair Shores City, Precinct 12",411,411,700,"1,111"
"St. Clair Shores City, Precinct 13",315,315,411,726
"St. Clair Shores City, Precinct 14",310,310,416,726
"St. Clair Shores City, Precinct 15",333,333,512,845
"St. Clair Shores City, Precinct 16",304,304,445,749
"St. Clair Shores City, Precinct 17",361,361,555,916
"St. Clair Shores City, Precinct 18",369,369,512,881
"St. Clair Shores City, Precinct 19",229,229,374,603
"St. Clair Shores City, Precinct 20",237,237,387,624
"St. Clair Shores City, Precinct 21",185,185,318,503
"Sterling Heights City, Precinct 1",196,196,186,382
"Sterling Heights City, Precinct 2",275,275,290,565
"Sterling Heights City, Precinct 3",207,207,253,460
"Sterling Heights City, Precinct 4",244,244,261,505
"Sterling Heights City, Precinct 5",218,218,196,414
"Sterling Heights City, Precinct 6",166,166,200,366
"Sterling Heights City, Precinct 7",181,181,294,475
"Sterling Heights City, Precinct 8",181,181,245,426
"Sterling Heights City, Precinct 9",264,264,323,587
"Sterling Heights City, Precinct 10",231,231,346,577
"Sterling Heights City, Precinct 11",309,309,461,770
"Sterling Heights City, Precinct 12",186,186,208,394
"Sterling Heights City, Precinct 13",205,205,368,573
"Sterling Heights City, Precinct 14",295,295,454,749
"Sterling Heights City, Precinct 15",221,221,343,564
"Sterling Heights City, Precinct 16",268,268,294,562
"Sterling Heights City, Precinct 17",120,120,170,290
"Sterling Heights City, Precinct 18",189,189,358,547
"Sterling Heights City, Precinct 19",157,157,173,330
"Sterling Heights City, Precinct 20",182,182,197,379
"Sterling Heights City, Precinct 21",214,214,295,509
"Sterling Heights City, Precinct 22",260,260,296,556
"Sterling Heights City, Precinct 23",231,231,331,562
"Sterling Heights City, Precinct 24",277,277,405,682
"Sterling Heights City, Precinct 25",112,112,165,277
"Sterling Heights City, Precinct 26",261,261,290,551
"Sterling Heights City, Precinct 27",185,185,335,520
"Sterling Heights City, Precinct 28",221,221,372,593
"Sterling Heights City, Precinct 29",242,242,368,610
"Sterling Heights City, Precinct 30",268,268,481,749
"Sterling Heights City, Precinct 31",249,249,346,595
"Sterling Heights City, Precinct 32",210,210,289,499
"Sterling Heights City, Precinct 33",123,123,189,312
"Sterling Heights City, Precinct 34",275,275,340,615
"Sterling Heights City, Precinct 35",280,280,337,617
"Sterling Heights City, Precinct 36",282,282,388,670
"Sterling Heights City, Precinct 37",177,177,225,402
"Sterling Heights City, Precinct 38",266,266,368,634
"Sterling Heights City, Precinct 39",207,207,340,547
"Sterling Heights City, Precinct 40",214,214,185,399
"Sterling Heights City, Precinct 41",128,128,156,284
"Sterling Heights City, Precinct 42",342,342,323,665
"Sterling Heights City, Precinct 43",381,381,414,795
"Utica City, Precinct 1",82,82,105,187
"Utica City, Precinct 2",121,121,258,379
"Utica City, Precinct 3",164,164,204,368
"Warren City, Precinct 1",227,227,128,355
"Warren City, Precinct 2",220,220,148,368
"Warren City, Precinct 3",220,220,199,419
"Warren City, Precinct 4",246,246,160,406
"Warren City, Precinct 5",244,244,207,451
"Warren City, Precinct 6",114,114,75,189
"Warren City, Precinct 7",119,119,102,221
"Warren City, Precinct 8",136,136,106,242
"Warren City, Precinct 9",121,121,77,198
"Warren City, Precinct 10",3,3,1,4
"Warren City, Precinct 11",102,102,73,175
"Warren City, Precinct 12",54,54,70,124
"Warren City, Precinct 13",254,254,228,482
"Warren City, Precinct 14",123,123,95,218
"Warren City, Precinct 15",162,162,112,274
"Warren City, Precinct 16",127,127,138,265
"Warren City, Precinct 17",74,74,41,115
"Warren City, Precinct 18",228,228,209,437
"Warren City, Precinct 19",311,311,317,628
"Warren City, Precinct 20",265,265,293,558
"Warren City, Precinct 21",276,276,251,527
"Warren City, Precinct 22",114,114,105,219
"Warren City, Precinct 23",142,142,179,321
"Warren City, Precinct 24",111,111,72,183
"Warren City, Precinct 25",216,216,280,496
"Warren City, Precinct 26",193,193,233,426
"Warren City, Precinct 27",366,366,326,692
"Warren City, Precinct 28",363,363,359,722
"Warren City, Precinct 29",299,299,311,610
"Warren City, Precinct 30",293,293,402,695
"Warren City, Precinct 31",140,140,142,282
"Warren City, Precinct 32",282,282,293,575
"Warren City, Precinct 33",173,173,157,330
"Warren City, Precinct 34",214,214,151,365
"Warren City, Precinct 35",153,153,167,320
"Warren City, Precinct 36",291,291,328,619
"Warren City, Precinct 37",330,330,307,637
"Warren City, Precinct 38",241,241,252,493
"Warren City, Precinct 39",253,253,186,439
"Warren City, Precinct 40",260,260,235,495
"Warren City, Precinct 41",194,194,185,379
"Warren City, Precinct 42",294,294,368,662
"Warren City, Precinct 43",225,225,158,383
"Warren City, Precinct 44",336,336,387,723
"Warren City, Precinct 45",241,241,310,551
"Warren City, Precinct 46",322,322,413,735
"Warren City, Precinct 47",162,162,217,379
"Warren City, Precinct 48",162,162,227,389
"Warren City, Precinct 49",239,239,361,600
"Warren City, Precinct 50",232,232,275,507
"Warren City, Precinct 51",143,143,157,300
"Warren City, Precinct 52",201,201,286,487
"Warren City, Precinct 53",323,323,455,778
"Washington Township, Precinct 1",119,119,263,382
"Washington Township, Precinct 2",175,175,426,601
"Washington Township, Precinct 3",202,202,611,813
"Washington Township, Precinct 4",142,142,390,532
"Washington Township, Precinct 5",131,131,629,760
"Washington Township, Precinct 6",202,202,765,967
"Washington Township, Precinct 7",142,142,671,813
"Washington Township, Precinct 8",198,198,510,708
"Washington Township, Precinct 9",81,81,308,389
"Washington Township, Precinct 10",145,145,397,542
"Washington Township, Precinct 11",107,107,439,546
"Washington Township, Precinct 12",65,65,263,328
Totals,"68,741","68,741","106,795","175,536"

