Precinct,"Mark A. Hackel
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"68,741","68,741","106,795","175,536"
"Armada Township, Precinct 1",181,181,660,841
"Armada Township, Precinct 2",100,100,505,605
"Bruce Township, Precinct 1",133,133,288,421
"Bruce Township, Precinct 2",180,180,664,844
"Bruce Township, Precinct 3",144,144,453,597
"Bruce Township, Precinct 4",124,124,533,657
"Center Line City, Precinct 1",152,152,194,346
"Center Line City, Precinct 2",166,166,109,275
"Center Line City, Precinct 3",195,195,149,344
"Center Line City, Precinct 4",97,97,133,230
"Center Line City, Precinct 5",106,106,90,196
"Chesterfield Township, Precinct 1",262,262,495,757
"Chesterfield Township, Precinct 2",206,206,439,645
"Chesterfield Township, Precinct 3",142,142,412,554
"Chesterfield Township, Precinct 4",150,150,302,452
"Chesterfield Township, Precinct 5",212,212,438,650
"Chesterfield Township, Precinct 6",179,179,375,554
"Chesterfield Township, Precinct 7",126,126,280,406
"Chesterfield Township, Precinct 8",119,119,331,450
"Chesterfield Township, Precinct 9",210,210,370,580
"Chesterfield Township, Precinct 10",230,230,738,968
"Chesterfield Township, Precinct 11",126,126,296,422
"Chesterfield Township, Precinct 12",218,218,318,536
"Chesterfield Township, Precinct 13",233,233,474,707
"Chesterfield Township, Precinct 14",117,117,280,397
"Chesterfield Township, Precinct 15",247,247,537,784
"Chesterfield Township, Precinct 16",184,184,424,608
"Chesterfield Township, Precinct 17",87,87,121,208
"Chesterfield Township, Precinct 18",110,110,251,361
"Chesterfield Township, Precinct 19",159,159,247,406
"Clinton Township, Precinct 1",232,232,215,447
"Clinton Township, Precinct 2",261,261,292,553
"Clinton Township, Precinct 3",201,201,378,579
"Clinton Township, Precinct 4",233,233,392,625
"Clinton Township, Precinct 5",104,104,61,165
"Clinton Township, Precinct 6",165,165,135,300
"Clinton Township, Precinct 7",205,205,297,502
"Clinton Township, Precinct 8",314,314,425,739
"Clinton Township, Precinct 9",354,354,512,866
"Clinton Township, Precinct 10",185,185,328,513
"Clinton Township, Precinct 11",261,261,498,759
"Clinton Township, Precinct 12",184,184,311,495
"Clinton Township, Precinct 13",98,98,215,313
"Clinton Township, Precinct 14",166,166,115,281
"Clinton Township, Precinct 15",248,248,356,604
"Clinton Township, Precinct 16",379,379,556,935
"Clinton Township, Precinct 17",182,182,244,426
"Clinton Township, Precinct 18",197,197,334,531
"Clinton Township, Precinct 19",165,165,210,375
"Clinton Township, Precinct 20",224,224,255,479
"Clinton Township, Precinct 21",217,217,225,442
"Clinton Township, Precinct 22",197,197,389,586
"Clinton Township, Precinct 23",244,244,507,751
"Clinton Township, Precinct 24",88,88,187,275
"Clinton Township, Precinct 25",169,169,350,519
"Clinton Township, Precinct 26",252,252,243,495
"Clinton Township, Precinct 27",185,185,261,446
"Clinton Township, Precinct 28",260,260,336,596
"Clinton Township, Precinct 29",119,119,223,342
"Clinton Township, Precinct 30",251,251,306,557
"Clinton Township, Precinct 31",165,165,240,405
"Clinton Township, Precinct 32",152,152,256,408
"Clinton Township, Precinct 33",176,176,257,433
"Clinton Township, Precinct 34",172,172,191,363
"Clinton Township, Precinct 35",192,192,332,524
"Clinton Township, Precinct 36",98,98,165,263
"Clinton Township, Precinct 37",269,269,311,580
"Clinton Township, Precinct 38",214,214,186,400
"Clinton Township, Precinct 39",164,164,165,329
"Clinton Township, Precinct 40",173,173,235,408
"Clinton Township, Precinct 41",190,190,47,237
"Clinton Township, Precinct 42",246,246,312,558
"Eastpointe City, Precinct 1",184,184,100,284
"Eastpointe City, Precinct 2",270,270,158,428
"Eastpointe City, Precinct 3",228,228,166,394
"Eastpointe City, Precinct 4",227,227,176,403
"Eastpointe City, Precinct 5",225,225,133,358
"Eastpointe City, Precinct 6",238,238,140,378
"Eastpointe City, Precinct 7",216,216,90,306
"Eastpointe City, Precinct 8",352,352,111,463
"Eastpointe City, Precinct 9",240,240,84,324
"Eastpointe City, Precinct 10",137,137,99,236
"Eastpointe City, Precinct 11",211,211,133,344
"Eastpointe City, Precinct 12",372,372,220,592
"Eastpointe City, Precinct 13",147,147,81,228
"Eastpointe City, Precinct 14",269,269,132,401
"Fraser City, Precinct 1",158,158,248,406
"Fraser City, Precinct 2",220,220,415,635
"Fraser City, Precinct 3",297,297,370,667
