Precinct,"Michelle Smith
Republican","Giovanni Ndrea
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,953","1,185","7,138","9,102","16,240"
"Shelby Township, Precinct 4",288,54,342,238,580
"Shelby Township, Precinct 6",137,20,157,179,336
"Shelby Township, Precinct 9",122,28,150,142,292
"Shelby Township, Precinct 10",248,34,282,219,501
"Shelby Township, Precinct 21",60,20,80,141,221
"Sterling Heights City, Precinct 18",243,39,282,265,547
"Sterling Heights City, Precinct 19",119,18,137,193,330
"Sterling Heights City, Precinct 20",115,29,144,235,379
"Sterling Heights City, Precinct 21",202,34,236,273,509
"Sterling Heights City, Precinct 22",189,37,226,330,556
"Sterling Heights City, Precinct 23",216,37,253,309,562
"Sterling Heights City, Precinct 24",251,52,303,379,682
"Sterling Heights City, Precinct 25",89,31,120,157,277
"Sterling Heights City, Precinct 26",177,37,214,337,551
"Sterling Heights City, Precinct 27",243,25,268,252,520
"Sterling Heights City, Precinct 31",229,44,273,322,595
"Sterling Heights City, Precinct 32",192,34,226,273,499
"Sterling Heights City, Precinct 33",127,32,159,153,312
"Sterling Heights City, Precinct 34",206,53,259,356,615
"Sterling Heights City, Precinct 36",269,37,306,364,670
"Sterling Heights City, Precinct 39",208,39,247,300,547
"Sterling Heights City, Precinct 40",106,41,147,252,399
"Sterling Heights City, Precinct 41",104,18,122,162,284
"Sterling Heights City, Precinct 42",200,45,245,420,665
"Utica City, Precinct 1",75,9,84,103,187
"Utica City, Precinct 2",158,40,198,181,379
"Utica City, Precinct 3",134,20,154,214,368
"Warren City, Precinct 38",164,41,205,288,493
"Warren City, Precinct 39",103,21,124,315,439
"Warren City, Precinct 42",214,46,260,402,662
"Warren City, Precinct 48",127,28,155,234,389
"Warren City, Precinct 49",199,49,248,352,600
"Warren City, Precinct 50",169,32,201,306,507
"Warren City, Precinct 51",86,23,109,191,300
"Warren City, Precinct 52",184,38,222,265,487
Totals,"5,953","1,185","7,138","9,102","16,240"

