Precinct,"Veronica Paiz
Democratic","Alex Manwell
Democratic","Ricardo White
Democratic","David Maynard
Democratic","Regina L. Williams
Democratic","Paul Robert Francis
Democratic","Athena Lynn Thornton
Democratic","Patrick Biange
Democratic","Marvin Cotton Jr.
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"1,070","1,009",828,570,462,386,267,249,119,"4,960","6,511","11,471"
"St. Clair Shores City, Precinct 1",69,55,83,26,55,20,35,23,11,377,270,647
"St. Clair Shores City, Precinct 2",80,76,82,63,26,25,23,18,21,414,421,835
"St. Clair Shores City, Precinct 3",117,81,68,24,37,40,24,23,13,427,666,"1,093"
"St. Clair Shores City, Precinct 4",79,72,65,51,33,22,15,9,4,350,381,731
"St. Clair Shores City, Precinct 5",66,73,84,57,34,17,14,18,9,372,439,811
"St. Clair Shores City, Precinct 6",65,51,11,32,18,17,11,14,4,223,197,420
"St. Clair Shores City, Precinct 7",71,71,68,42,30,17,28,23,7,357,448,805
"St. Clair Shores City, Precinct 8",28,30,25,19,23,10,12,8,5,160,258,418
"St. Clair Shores City, Precinct 9",60,68,32,30,38,37,7,17,6,295,396,691
"St. Clair Shores City, Precinct 10",84,91,70,35,17,28,12,18,11,366,559,925
"St. Clair Shores City, Precinct 11",78,70,36,35,27,40,12,12,8,318,369,687
"St. Clair Shores City, Precinct 12",80,89,68,49,29,48,15,17,8,403,708,"1,111"
"St. Clair Shores City, Precinct 13",81,64,44,34,23,24,17,9,6,302,424,726
"St. Clair Shores City, Precinct 14",55,57,45,46,38,13,19,16,1,290,436,726
"St. Clair Shores City, Precinct 15",57,61,47,27,34,28,23,24,5,306,539,845
Totals,"1,070","1,009",828,570,462,386,267,249,119,"4,960","6,511","11,471"

