Precinct,"Joseph V. Romano
Republican","Eric Briskey
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,514","2,176","5,690","7,159","12,849"
"Sterling Heights City, Precinct 18",143,127,270,277,547
"Sterling Heights City, Precinct 19",94,45,139,191,330
"Sterling Heights City, Precinct 20",90,50,140,239,379
"Sterling Heights City, Precinct 21",142,96,238,271,509
"Sterling Heights City, Precinct 22",125,99,224,332,556
"Sterling Heights City, Precinct 23",153,97,250,312,562
"Sterling Heights City, Precinct 24",187,122,309,373,682
"Sterling Heights City, Precinct 25",81,41,122,155,277
"Sterling Heights City, Precinct 27",144,119,263,257,520
"Sterling Heights City, Precinct 28",176,102,278,315,593
"Sterling Heights City, Precinct 29",141,146,287,323,610
"Sterling Heights City, Precinct 30",222,146,368,381,749
"Sterling Heights City, Precinct 31",178,102,280,315,595
"Sterling Heights City, Precinct 33",103,54,157,155,312
"Sterling Heights City, Precinct 34",169,93,262,353,615
"Sterling Heights City, Precinct 35",174,76,250,367,617
"Sterling Heights City, Precinct 36",227,89,316,354,670
"Sterling Heights City, Precinct 37",113,64,177,225,402
"Sterling Heights City, Precinct 38",207,83,290,344,634
"Sterling Heights City, Precinct 39",174,86,260,287,547
"Sterling Heights City, Precinct 40",73,73,146,253,399
"Sterling Heights City, Precinct 41",76,44,120,164,284
"Sterling Heights City, Precinct 42",135,107,242,423,665
"Sterling Heights City, Precinct 43",187,115,302,493,795
Totals,"3,514","2,176","5,690","7,159","12,849"

