Precinct,"James M. Perna
Republican","Cheryl R. Cannon
Republican","Leo J. Melise
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,065","2,951","1,076","8,092","8,639","16,731"
"Clinton Township, Precinct 1",80,66,18,164,283,447
"Clinton Township, Precinct 2",102,110,23,235,318,553
"Clinton Township, Precinct 3",145,133,29,307,272,579
"Clinton Township, Precinct 7",134,67,23,224,278,502
"Clinton Township, Precinct 8",156,113,62,331,408,739
"Clinton Township, Precinct 9",180,166,56,402,464,866
"Clinton Township, Precinct 10",134,106,24,264,249,513
"Clinton Township, Precinct 11",164,169,59,392,367,759
"Clinton Township, Precinct 12",123,94,40,257,238,495
"Clinton Township, Precinct 13",5,19,5,29,284,313
"Clinton Township, Precinct 15",146,97,48,291,313,604
"Clinton Township, Precinct 16",240,165,50,455,480,935
"Clinton Township, Precinct 17",100,69,27,196,230,426
"Clinton Township, Precinct 18",134,89,33,256,275,531
"Clinton Township, Precinct 19",72,86,18,176,199,375
"Clinton Township, Precinct 22",176,116,46,338,248,586
"Clinton Township, Precinct 23",170,155,96,421,330,751
"Macomb Township, Precinct 1",142,86,26,254,318,572
"Macomb Township, Precinct 2",94,68,24,186,254,440
"Macomb Township, Precinct 3",146,108,51,305,372,677
"Macomb Township, Precinct 4",111,63,19,193,204,397
"Macomb Township, Precinct 10",189,158,51,398,408,806
"Macomb Township, Precinct 11",163,83,54,300,318,618
"Macomb Township, Precinct 15",256,137,51,444,301,745
"Macomb Township, Precinct 16",164,111,36,311,301,612
"Shelby Township, Precinct 27",144,117,47,308,337,645
"Shelby Township, Precinct 28",279,119,43,441,433,874
"Shelby Township, Precinct 29",116,81,17,214,157,371
Totals,"4,065","2,951","1,076","8,092","8,639","16,731"

