Precinct,"Mark T. Foster
Republican","Christopher Jeffery
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,317","1,934","4,251","7,220","11,471"
"St. Clair Shores City, Precinct 1",93,71,164,483,647
"St. Clair Shores City, Precinct 2",120,133,253,582,835
"St. Clair Shores City, Precinct 3",233,168,401,692,"1,093"
"St. Clair Shores City, Precinct 4",120,137,257,474,731
"St. Clair Shores City, Precinct 5",151,137,288,523,811
"St. Clair Shores City, Precinct 6",78,60,138,282,420
"St. Clair Shores City, Precinct 7",166,121,287,518,805
"St. Clair Shores City, Precinct 8",81,92,173,245,418
"St. Clair Shores City, Precinct 9",142,100,242,449,691
"St. Clair Shores City, Precinct 10",180,183,363,562,925
"St. Clair Shores City, Precinct 11",140,99,239,448,687
"St. Clair Shores City, Precinct 12",264,235,499,612,"1,111"
"St. Clair Shores City, Precinct 13",171,120,291,435,726
"St. Clair Shores City, Precinct 14",154,144,298,428,726
"St. Clair Shores City, Precinct 15",224,134,358,487,845
Totals,"2,317","1,934","4,251","7,220","11,471"

