Precinct,"Clifford Frost
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,628","4,628","8,673","13,301"
"Warren City, Precinct 22",79,79,140,219
"Warren City, Precinct 23",110,110,211,321
"Warren City, Precinct 24",45,45,138,183
"Warren City, Precinct 25",204,204,292,496
"Warren City, Precinct 26",155,155,271,426
"Warren City, Precinct 27",195,195,497,692
"Warren City, Precinct 28",253,253,469,722
"Warren City, Precinct 29",214,214,396,610
"Warren City, Precinct 30",254,254,441,695
"Warren City, Precinct 37",206,206,431,637
"Warren City, Precinct 38",188,188,305,493
"Warren City, Precinct 39",112,112,327,439
"Warren City, Precinct 40",157,157,338,495
"Warren City, Precinct 41",115,115,264,379
"Warren City, Precinct 42",229,229,433,662
"Warren City, Precinct 43",94,94,289,383
"Warren City, Precinct 44",291,291,432,723
"Warren City, Precinct 45",218,218,333,551
"Warren City, Precinct 46",251,251,484,735
"Warren City, Precinct 47",147,147,232,379
"Warren City, Precinct 48",131,131,258,389
"Warren City, Precinct 49",228,228,372,600
"Warren City, Precinct 50",164,164,343,507
"Warren City, Precinct 51",98,98,202,300
"Warren City, Precinct 52",188,188,299,487
"Warren City, Precinct 53",302,302,476,778
Totals,"4,628","4,628","8,673","13,301"

