Precinct,"Joe Tate
Democratic","Toni Mua
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Village of Grosse Pointe Shores City, Precinct 3",4,0,4,34,38
Totals,4,0,4,34,38

