Precinct,"Kevin Hertel
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"16,149","16,149","26,092","42,241"
"Chesterfield Township, Precinct 1",246,246,511,757
"Chesterfield Township, Precinct 2",206,206,439,645
"Chesterfield Township, Precinct 3",140,140,414,554
"Chesterfield Township, Precinct 4",148,148,304,452
"Chesterfield Township, Precinct 5",218,218,432,650
"Chesterfield Township, Precinct 6",177,177,377,554
"Chesterfield Township, Precinct 7",126,126,280,406
"Chesterfield Township, Precinct 8",123,123,327,450
"Chesterfield Township, Precinct 9",212,212,368,580
"Chesterfield Township, Precinct 10",223,223,745,968
"Chesterfield Township, Precinct 11",128,128,294,422
"Chesterfield Township, Precinct 12",213,213,323,536
"Chesterfield Township, Precinct 13",226,226,481,707
"Chesterfield Township, Precinct 14",120,120,277,397
"Chesterfield Township, Precinct 15",245,245,539,784
"Chesterfield Township, Precinct 16",198,198,410,608
"Chesterfield Township, Precinct 17",88,88,120,208
"Chesterfield Township, Precinct 18",103,103,258,361
"Chesterfield Township, Precinct 19",156,156,250,406
"Clinton Township, Precinct 6",52,52,248,300
"Clinton Township, Precinct 13",12,12,301,313
"Clinton Township, Precinct 14",165,165,116,281
"Clinton Township, Precinct 27",185,185,261,446
"Clinton Township, Precinct 28",266,266,330,596
"Clinton Township, Precinct 36",100,100,163,263
"Clinton Township, Precinct 37",267,267,313,580
"Clinton Township, Precinct 38",216,216,184,400
"Clinton Township, Precinct 41",180,180,57,237
"Clinton Township, Precinct 42",260,260,298,558
"Village of Grosse Pointe Shores City, Precinct 3",4,4,34,38
"Harrison Township, Precinct 1",207,207,322,529
"Harrison Township, Precinct 2",313,313,438,751
"Harrison Township, Precinct 3",202,202,485,687
"Harrison Township, Precinct 4",224,224,449,673
"Harrison Township, Precinct 5",167,167,674,841
"Harrison Township, Precinct 6",229,229,455,684
"Harrison Township, Precinct 7",225,225,563,788
"Harrison Township, Precinct 8",176,176,214,390
"Harrison Township, Precinct 9",158,158,540,698
"Harrison Township, Precinct 10",179,179,435,614
"Mount Clemens City, Precinct 1",208,208,83,291
"Mount Clemens City, Precinct 2",239,239,235,474
"Mount Clemens City, Precinct 3",270,270,281,551
"Mount Clemens City, Precinct 4",133,133,133,266
"Mount Clemens City, Precinct 6",330,330,209,539
"Mount Clemens City, Precinct 9",232,232,322,554
"New Baltimore City, Precinct 1",116,116,276,392
"New Baltimore City, Precinct 2",87,87,255,342
"New Baltimore City, Precinct 3",186,186,555,741
"New Baltimore City, Precinct 4",203,203,424,627
"New Baltimore City, Precinct 5",169,169,436,605
"St. Clair Shores City, Precinct 1",372,372,275,647
"St. Clair Shores City, Precinct 2",426,426,409,835
"St. Clair Shores City, Precinct 3",453,453,640,"1,093"
"St. Clair Shores City, Precinct 4",363,363,368,731
"St. Clair Shores City, Precinct 5",371,371,440,811
"St. Clair Shores City, Precinct 6",222,222,198,420
"St. Clair Shores City, Precinct 7",369,369,436,805
"St. Clair Shores City, Precinct 8",169,169,249,418
"St. Clair Shores City, Precinct 9",320,320,371,691
"St. Clair Shores City, Precinct 10",378,378,547,925
"St. Clair Shores City, Precinct 11",334,334,353,687
"St. Clair Shores City, Precinct 12",423,423,688,"1,111"
"St. Clair Shores City, Precinct 13",322,322,404,726
"St. Clair Shores City, Precinct 14",314,314,412,726
"St. Clair Shores City, Precinct 15",338,338,507,845
"St. Clair Shores City, Precinct 16",298,298,451,749
"St. Clair Shores City, Precinct 17",370,370,546,916
"St. Clair Shores City, Precinct 18",381,381,500,881
"St. Clair Shores City, Precinct 19",232,232,371,603
"St. Clair Shores City, Precinct 20",250,250,374,624
"St. Clair Shores City, Precinct 21",188,188,315,503
Totals,"16,149","16,149","26,092","42,241"

