Precinct,"Donavan McKinney
Democratic","Kristina Lodovisi
Democratic","Aaron Delikta
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,360","1,747",780,"4,887","4,016","8,903"
"Center Line City, Precinct 1",67,58,38,163,183,346
"Center Line City, Precinct 2",56,65,39,160,115,275
"Center Line City, Precinct 3",95,42,68,205,139,344
"Center Line City, Precinct 4",35,36,32,103,127,230
"Center Line City, Precinct 5",37,41,27,105,91,196
"Warren City, Precinct 1",129,76,24,229,126,355
"Warren City, Precinct 2",96,97,46,239,129,368
"Warren City, Precinct 3",129,95,19,243,176,419
"Warren City, Precinct 4",148,89,24,261,145,406
"Warren City, Precinct 5",105,113,38,256,195,451
"Warren City, Precinct 6",62,42,14,118,71,189
"Warren City, Precinct 7",66,40,12,118,103,221
"Warren City, Precinct 11",43,48,15,106,69,175
"Warren City, Precinct 17",27,37,10,74,41,115
"Warren City, Precinct 18",126,93,23,242,195,437
"Warren City, Precinct 19",138,116,76,330,298,628
"Warren City, Precinct 31",75,53,18,146,136,282
"Warren City, Precinct 32",143,86,55,284,291,575
"Warren City, Precinct 33",89,51,36,176,154,330
"Warren City, Precinct 34",94,103,17,214,151,365
"Warren City, Precinct 35",84,42,25,151,169,320
"Warren City, Precinct 36",140,101,46,287,332,619
"Warren City, Precinct 40",146,90,22,258,237,495
"Warren City, Precinct 41",100,63,29,192,187,379
"Warren City, Precinct 43",130,70,27,227,156,383
Totals,"2,360","1,747",780,"4,887","4,016","8,903"

