Precinct,"Michelle Merriwether
Democratic","Kurt S. Kramer
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,315","1,090","4,405","10,419","14,824"
"Chesterfield Township, Precinct 1",189,42,231,526,757
"Chesterfield Township, Precinct 2",138,65,203,442,645
"Chesterfield Township, Precinct 3",111,27,138,416,554
"Chesterfield Township, Precinct 4",90,49,139,313,452
"Chesterfield Township, Precinct 5",176,41,217,433,650
"Chesterfield Township, Precinct 6",116,50,166,388,554
"Chesterfield Township, Precinct 7",84,28,112,294,406
"Chesterfield Township, Precinct 8",82,34,116,334,450
"Chesterfield Township, Precinct 9",166,37,203,377,580
"Chesterfield Township, Precinct 10",149,61,210,758,968
"Chesterfield Township, Precinct 11",92,30,122,300,422
"Chesterfield Township, Precinct 12",162,51,213,323,536
"Chesterfield Township, Precinct 13",186,37,223,484,707
"Chesterfield Township, Precinct 14",78,32,110,287,397
"Chesterfield Township, Precinct 15",179,64,243,541,784
"Chesterfield Township, Precinct 16",135,55,190,418,608
"Chesterfield Township, Precinct 17",79,11,90,118,208
"Chesterfield Township, Precinct 18",73,21,94,267,361
"Chesterfield Township, Precinct 19",110,38,148,258,406
"Lenox Township, Precinct 1",60,35,95,353,448
"Lenox Township, Precinct 2",123,25,148,432,580
"Lenox Township, Precinct 3",141,64,205,275,480
"Lenox Township, Precinct 4",47,17,64,100,164
"New Baltimore City, Precinct 1",80,33,113,279,392
"New Baltimore City, Precinct 2",60,17,77,265,342
"New Baltimore City, Precinct 3",131,48,179,562,741
"New Baltimore City, Precinct 4",165,30,195,432,627
"New Baltimore City, Precinct 5",113,48,161,444,605
Totals,"3,315","1,090","4,405","10,419","14,824"

