Precinct,"John James
Republican","Tony Marcinkewciz
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Eastpointe City, Precinct 2",87,7,94,334,428
"Eastpointe City, Precinct 3",93,21,114,280,394
"Eastpointe City, Precinct 4",114,17,131,272,403
"Eastpointe City, Precinct 5",90,22,112,246,358
"Eastpointe City, Precinct 6",84,15,99,279,378
"Eastpointe City, Precinct 7",41,8,49,257,306
"Eastpointe City, Precinct 8",45,15,60,403,463
"Eastpointe City, Precinct 9",39,9,48,276,324
"Eastpointe City, Precinct 10",68,13,81,155,236
"Eastpointe City, Precinct 11",84,12,96,248,344
"Eastpointe City, Precinct 12",124,26,150,442,592
"Eastpointe City, Precinct 13",36,5,41,187,228
"Eastpointe City, Precinct 14",70,12,82,319,401
"Fraser City, Precinct 1",165,38,203,203,406
"Fraser City, Precinct 2",298,48,346,289,635
"Fraser City, Precinct 3",251,33,284,383,667
"Fraser City, Precinct 4",200,25,225,284,509
"Fraser City, Precinct 5",66,8,74,103,177
"Fraser City, Precinct 6",300,43,343,378,721
"Fraser City, Precinct 7",117,33,150,214,364
"Village of Grosse Pointe Shores City, Precinct 3",28,2,30,8,38
"Harrison Township, Precinct 1",247,43,290,239,529
"Harrison Township, Precinct 2",319,47,366,385,751
"Harrison Township, Precinct 3",341,66,407,280,687
"Harrison Township, Precinct 4",343,46,389,284,673
"Harrison Township, Precinct 5",464,109,573,268,841
"Harrison Township, Precinct 6",339,60,399,285,684
"Harrison Township, Precinct 7",416,81,497,291,788
"Harrison Township, Precinct 8",149,27,176,214,390
"Harrison Township, Precinct 9",412,73,485,213,698
"Harrison Township, Precinct 10",330,51,381,233,614
"Macomb Township, Precinct 1",252,47,299,273,572
"Macomb Township, Precinct 2",190,24,214,226,440
"Macomb Township, Precinct 3",301,49,350,327,677
"Macomb Township, Precinct 4",183,28,211,186,397
"Macomb Township, Precinct 10",381,68,449,357,806
"Macomb Township, Precinct 11",302,38,340,278,618
"Macomb Township, Precinct 15",446,58,504,241,745
"Macomb Township, Precinct 16",325,37,362,250,612
"Mount Clemens City, Precinct 1",33,11,44,247,291
"Mount Clemens City, Precinct 2",161,25,186,288,474
"Mount Clemens City, Precinct 3",196,37,233,318,551
"Mount Clemens City, Precinct 4",87,20,107,159,266
"Mount Clemens City, Precinct 6",125,24,149,390,539
"Mount Clemens City, Precinct 9",241,30,271,283,554
"Roseville City, Precinct 1",171,22,193,227,420
"Roseville City, Precinct 2",226,39,265,276,541
"Roseville City, Precinct 3",90,20,110,274,384
"Roseville City, Precinct 4",96,26,122,168,290
"Roseville City, Precinct 5",135,32,167,232,399
"Roseville City, Precinct 6",138,19,157,176,333
"Roseville City, Precinct 7",128,20,148,218,366
"Roseville City, Precinct 8",161,33,194,289,483
"Roseville City, Precinct 9",235,49,284,356,640
"Roseville City, Precinct 10",131,20,151,164,315
"Roseville City, Precinct 11",155,28,183,241,424
"Roseville City, Precinct 12",119,24,143,205,348
"Roseville City, Precinct 13",118,27,145,219,364
"Roseville City, Precinct 14",154,23,177,201,378
"Roseville City, Precinct 15",145,32,177,308,485
"Roseville City, Precinct 16",96,16,112,160,272
"Roseville City, Precinct 17",67,13,80,124,204
"Roseville City, Precinct 18",19,4,23,111,134
"Shelby Township, Precinct 1",250,47,297,141,438
"Shelby Township, Precinct 2",393,59,452,242,694
"Shelby Township, Precinct 3",163,34,197,113,310
"Shelby Township, Precinct 4",343,38,381,199,580
"Shelby Township, Precinct 5",179,48,227,209,436
"Shelby Township, Precinct 6",151,22,173,163,336
"Shelby Township, Precinct 7",370,82,452,224,676
"Shelby Township, Precinct 8",206,27,233,126,359
"Shelby Township, Precinct 9",124,34,158,134,292
"Shelby Township, Precinct 10",257,50,307,194,501
"Shelby Township, Precinct 11",288,53,341,237,578
"Shelby Township, Precinct 12",288,43,331,130,461
"Shelby Township, Precinct 13",193,39,232,133,365
"Shelby Township, Precinct 14",402,74,476,244,720
"Shelby Township, Precinct 15",366,102,468,258,726
"Shelby Township, Precinct 16",570,89,659,361,"1,020"
"Shelby Township, Precinct 17",192,43,235,159,394
"Shelby Township, Precinct 18",300,42,342,264,606
"Shelby Township, Precinct 19",262,79,341,168,509
"Shelby Township, Precinct 20",191,37,228,172,400
"Shelby Township, Precinct 21",66,22,88,133,221
"Shelby Township, Precinct 22",547,87,634,375,"1,009"
"Shelby Township, Precinct 23",535,95,630,226,856
"Shelby Township, Precinct 24",677,82,759,328,"1,087"
"Shelby Township, Precinct 25",417,54,471,248,719
"Shelby Township, Precinct 26",351,46,397,353,750
"Shelby Township, Precinct 27",308,50,358,287,645
"Shelby Township, Precinct 28",396,68,464,410,874
"Shelby Township, Precinct 29",202,38,240,131,371
"Shelby Township, Precinct 30",287,67,354,205,559
"Shelby Township, Precinct 31",261,52,313,126,439
"Shelby Township, Precinct 32",173,38,211,109,320
"St. Clair Shores City, Precinct 1",175,31,206,441,647
"St. Clair Shores City, Precinct 2",282,46,328,507,835
"St. Clair Shores City, Precinct 3",494,69,563,530,"1,093"
"St. Clair Shores City, Precinct 4",256,57,313,418,731
"St. Clair Shores City, Precinct 5",305,57,362,449,811
"St. Clair Shores City, Precinct 6",145,20,165,255,420
"St. Clair Shores City, Precinct 7",298,61,359,446,805
"St. Clair Shores City, Precinct 8",172,37,209,209,418
"St. Clair Shores City, Precinct 9",277,37,314,377,691
"St. Clair Shores City, Precinct 10",406,50,456,469,925
"St. Clair Shores City, Precinct 11",264,26,290,397,687
"St. Clair Shores City, Precinct 12",536,66,602,509,"1,111"
"St. Clair Shores City, Precinct 13",298,56,354,372,726
"St. Clair Shores City, Precinct 14",311,51,362,364,726
"St. Clair Shores City, Precinct 15",383,60,443,402,845
"St. Clair Shores City, Precinct 16",332,61,393,356,749
"St. Clair Shores City, Precinct 17",380,91,471,445,916
"St. Clair Shores City, Precinct 18",373,62,435,446,881
"St. Clair Shores City, Precinct 19",262,67,329,274,603
"St. Clair Shores City, Precinct 20",279,52,331,293,624
"St. Clair Shores City, Precinct 21",238,40,278,225,503
"Sterling Heights City, Precinct 1",128,15,143,239,382
"Sterling Heights City, Precinct 2",207,36,243,322,565
"Sterling Heights City, Precinct 3",194,24,218,242,460
"Sterling Heights City, Precinct 4",187,28,215,290,505
"Sterling Heights City, Precinct 5",148,17,165,249,414
"Sterling Heights City, Precinct 6",138,24,162,204,366
"Sterling Heights City, Precinct 7",207,38,245,230,475
"Sterling Heights City, Precinct 8",191,20,211,215,426
"Sterling Heights City, Precinct 9",233,30,263,324,587
"Sterling Heights City, Precinct 10",261,33,294,283,577
"Sterling Heights City, Precinct 11",340,45,385,385,770
"Sterling Heights City, Precinct 12",131,33,164,230,394
"Sterling Heights City, Precinct 13",278,30,308,265,573
"Sterling Heights City, Precinct 14",327,53,380,369,749
"Sterling Heights City, Precinct 15",246,45,291,273,564
"Sterling Heights City, Precinct 16",195,43,238,324,562
"Sterling Heights City, Precinct 17",135,18,153,137,290
"Sterling Heights City, Precinct 18",259,47,306,241,547
"Sterling Heights City, Precinct 19",123,21,144,186,330
"Sterling Heights City, Precinct 20",148,18,166,213,379
"Sterling Heights City, Precinct 21",222,36,258,251,509
"Sterling Heights City, Precinct 22",208,41,249,307,556
"Sterling Heights City, Precinct 23",245,40,285,277,562
"Sterling Heights City, Precinct 24",315,40,355,327,682
"Sterling Heights City, Precinct 25",120,20,140,137,277
"Sterling Heights City, Precinct 26",214,34,248,303,551
"Sterling Heights City, Precinct 27",249,45,294,226,520
"Sterling Heights City, Precinct 28",278,38,316,277,593
"Sterling Heights City, Precinct 29",277,40,317,293,610
"Sterling Heights City, Precinct 30",393,37,430,319,749
"Sterling Heights City, Precinct 31",251,47,298,297,595
"Sterling Heights City, Precinct 32",210,38,248,251,499
"Sterling Heights City, Precinct 33",139,28,167,145,312
"Sterling Heights City, Precinct 34",238,48,286,329,615
"Sterling Heights City, Precinct 35",218,51,269,348,617
"Sterling Heights City, Precinct 36",288,48,336,334,670
"Sterling Heights City, Precinct 37",161,32,193,209,402
"Sterling Heights City, Precinct 38",288,35,323,311,634
"Sterling Heights City, Precinct 39",265,22,287,260,547
"Sterling Heights City, Precinct 40",123,33,156,243,399
"Sterling Heights City, Precinct 41",117,14,131,153,284
"Sterling Heights City, Precinct 42",216,48,264,401,665
"Sterling Heights City, Precinct 43",299,48,347,448,795
"Utica City, Precinct 1",78,15,93,94,187
"Utica City, Precinct 2",200,27,227,152,379
"Utica City, Precinct 3",140,26,166,202,368
"Warren City, Precinct 1",72,11,83,272,355
"Warren City, Precinct 2",76,29,105,263,368
"Warren City, Precinct 3",119,19,138,281,419
"Warren City, Precinct 4",96,25,121,285,406
"Warren City, Precinct 5",122,22,144,307,451
"Warren City, Precinct 6",46,8,54,135,189
"Warren City, Precinct 7",56,13,69,152,221
"Warren City, Precinct 8",71,16,87,155,242
"Warren City, Precinct 9",51,12,63,135,198
"Warren City, Precinct 10",0,1,1,3,4
"Warren City, Precinct 11",41,10,51,124,175
"Warren City, Precinct 12",51,5,56,68,124
"Warren City, Precinct 13",155,25,180,302,482
"Warren City, Precinct 14",64,14,78,140,218
"Warren City, Precinct 15",65,18,83,191,274
"Warren City, Precinct 16",92,15,107,158,265
"Warren City, Precinct 17",23,7,30,85,115
"Warren City, Precinct 18",120,28,148,289,437
"Warren City, Precinct 19",196,42,238,390,628
"Warren City, Precinct 20",202,31,233,325,558
"Warren City, Precinct 21",174,27,201,326,527
"Warren City, Precinct 22",75,12,87,132,219
"Warren City, Precinct 23",118,11,129,192,321
"Warren City, Precinct 24",39,13,52,131,183
"Warren City, Precinct 25",196,41,237,259,496
"Warren City, Precinct 26",158,33,191,235,426
"Warren City, Precinct 27",218,33,251,441,692
"Warren City, Precinct 28",248,45,293,429,722
"Warren City, Precinct 29",215,34,249,361,610
"Warren City, Precinct 30",294,42,336,359,695
"Warren City, Precinct 31",77,14,91,191,282
"Warren City, Precinct 32",189,39,228,347,575
"Warren City, Precinct 33",111,7,118,212,330
"Warren City, Precinct 34",96,17,113,252,365
"Warren City, Precinct 35",113,16,129,191,320
"Warren City, Precinct 36",224,41,265,354,619
"Warren City, Precinct 37",204,40,244,393,637
"Warren City, Precinct 38",195,28,223,270,493
"Warren City, Precinct 39",113,22,135,304,439
"Warren City, Precinct 40",147,36,183,312,495
"Warren City, Precinct 41",119,19,138,241,379
"Warren City, Precinct 42",252,41,293,369,662
"Warren City, Precinct 43",109,8,117,266,383
"Warren City, Precinct 44",272,58,330,393,723
"Warren City, Precinct 45",230,30,260,291,551
"Warren City, Precinct 46",279,36,315,420,735
"Warren City, Precinct 47",159,23,182,197,379
"Warren City, Precinct 48",150,29,179,210,389
"Warren City, Precinct 49",260,23,283,317,600
"Warren City, Precinct 50",183,39,222,285,507
"Warren City, Precinct 51",102,19,121,179,300
"Warren City, Precinct 52",214,36,250,237,487
"Warren City, Precinct 53",322,56,378,400,778
Totals,"54,169","9,057","63,226","68,140","131,366"

