Precinct,"John James
Republican","Tony Marcinkewciz
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"54,169","9,057","63,226","68,140","131,366"
"Center Line City, Precinct 1",129,20,149,197,346
"Center Line City, Precinct 2",81,13,94,181,275
"Center Line City, Precinct 3",95,21,116,228,344
"Center Line City, Precinct 4",93,19,112,118,230
"Center Line City, Precinct 5",67,11,78,118,196
"Clinton Township, Precinct 1",140,38,178,269,447
"Clinton Township, Precinct 2",227,18,245,308,553
"Clinton Township, Precinct 3",277,45,322,257,579
"Clinton Township, Precinct 4",290,44,334,291,625
"Clinton Township, Precinct 5",38,10,48,117,165
"Clinton Township, Precinct 6",95,10,105,195,300
"Clinton Township, Precinct 7",201,41,242,260,502
"Clinton Township, Precinct 8",300,44,344,395,739
"Clinton Township, Precinct 9",374,59,433,433,866
"Clinton Township, Precinct 10",256,28,284,229,513
"Clinton Township, Precinct 11",355,66,421,338,759
"Clinton Township, Precinct 12",251,23,274,221,495
"Clinton Township, Precinct 13",170,21,191,122,313
"Clinton Township, Precinct 14",80,12,92,189,281
"Clinton Township, Precinct 15",273,34,307,297,604
"Clinton Township, Precinct 16",413,59,472,463,935
"Clinton Township, Precinct 17",181,24,205,221,426
"Clinton Township, Precinct 18",235,40,275,256,531
"Clinton Township, Precinct 19",162,20,182,193,375
"Clinton Township, Precinct 20",185,32,217,262,479
"Clinton Township, Precinct 21",173,26,199,243,442
"Clinton Township, Precinct 22",296,42,338,248,586
"Clinton Township, Precinct 23",366,60,426,325,751
"Clinton Township, Precinct 24",131,25,156,119,275
"Clinton Township, Precinct 25",276,31,307,212,519
"Clinton Township, Precinct 26",166,24,190,305,495
"Clinton Township, Precinct 27",181,38,219,227,446
"Clinton Township, Precinct 28",261,33,294,302,596
"Clinton Township, Precinct 29",168,26,194,148,342
"Clinton Township, Precinct 30",225,31,256,301,557
"Clinton Township, Precinct 31",187,25,212,193,405
"Clinton Township, Precinct 32",189,24,213,195,408
"Clinton Township, Precinct 33",187,24,211,222,433
"Clinton Township, Precinct 34",147,15,162,201,363
"Clinton Township, Precinct 35",248,38,286,238,524
"Clinton Township, Precinct 36",114,31,145,118,263
"Clinton Township, Precinct 37",218,31,249,331,580
"Clinton Township, Precinct 38",140,14,154,246,400
"Clinton Township, Precinct 39",124,14,138,191,329
"Clinton Township, Precinct 40",173,31,204,204,408
"Clinton Township, Precinct 41",21,3,24,213,237
"Clinton Township, Precinct 42",218,40,258,300,558
"Eastpointe City, Precinct 1",50,15,65,219,284
