Precinct,"Ken Reid
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,292","4,292","10,663","14,955"
"Shelby Township, Precinct 1",104,104,334,438
"Shelby Township, Precinct 2",189,189,505,694
"Shelby Township, Precinct 3",90,90,220,310
"Shelby Township, Precinct 4",146,146,434,580
"Shelby Township, Precinct 5",163,163,273,436
"Shelby Township, Precinct 6",121,121,215,336
"Shelby Township, Precinct 7",194,194,482,676
"Shelby Township, Precinct 8",97,97,262,359
"Shelby Township, Precinct 9",117,117,175,292
"Shelby Township, Precinct 10",149,149,352,501
"Shelby Township, Precinct 11",196,196,382,578
"Shelby Township, Precinct 12",96,96,365,461
"Shelby Township, Precinct 13",99,99,266,365
"Shelby Township, Precinct 14",183,183,537,720
"Shelby Township, Precinct 15",196,196,530,726
"Shelby Township, Precinct 19",136,136,373,509
"Shelby Township, Precinct 20",130,130,270,400
"Shelby Township, Precinct 21",105,105,116,221
"Shelby Township, Precinct 22",305,305,704,"1,009"
"Shelby Township, Precinct 23",166,166,690,856
"Shelby Township, Precinct 24",225,225,862,"1,087"
"Shelby Township, Precinct 25",192,192,527,719
"Shelby Township, Precinct 26",287,287,463,750
"Shelby Township, Precinct 30",164,164,395,559
"Shelby Township, Precinct 31",94,94,345,439
"Utica City, Precinct 1",79,79,108,187
"Utica City, Precinct 2",118,118,261,379
"Utica City, Precinct 3",151,151,217,368
Totals,"4,292","4,292","10,663","14,955"

