Precinct,"Randell J. Shafer
Republican","Michael Babat
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"1,443","1,407","2,850","8,397","11,247"
"Eastpointe City, Precinct 1",20,31,51,233,284
"Eastpointe City, Precinct 2",44,36,80,348,428
"Eastpointe City, Precinct 3",43,50,93,301,394
"Eastpointe City, Precinct 4",52,52,104,299,403
"Eastpointe City, Precinct 5",44,55,99,259,358
"Eastpointe City, Precinct 6",42,40,82,296,378
"Eastpointe City, Precinct 7",15,23,38,268,306
"Eastpointe City, Precinct 8",24,26,50,413,463
"Eastpointe City, Precinct 9",22,23,45,279,324
"Eastpointe City, Precinct 10",41,30,71,165,236
"Eastpointe City, Precinct 11",35,51,86,258,344
"Eastpointe City, Precinct 12",74,64,138,454,592
"Eastpointe City, Precinct 13",11,25,36,192,228
"Eastpointe City, Precinct 14",31,34,65,336,401
"St. Clair Shores City, Precinct 1",73,85,158,489,647
"St. Clair Shores City, Precinct 2",159,98,257,578,835
"St. Clair Shores City, Precinct 4",116,132,248,483,731
"St. Clair Shores City, Precinct 5",152,127,279,532,811
"St. Clair Shores City, Precinct 6",62,71,133,287,420
"St. Clair Shores City, Precinct 7",137,140,277,528,805
"St. Clair Shores City, Precinct 8",3,3,6,412,418
"Warren City, Precinct 9",30,28,58,140,198
"Warren City, Precinct 10",1,0,1,3,4
"Warren City, Precinct 13",75,77,152,330,482
"Warren City, Precinct 14",35,33,68,150,218
"Warren City, Precinct 15",51,25,76,198,274
"Warren City, Precinct 16",51,48,99,166,265
Totals,"1,443","1,407","2,850","8,397","11,247"

