Precinct,"Mark Lingeman
Democratic","Robert Majchrzak
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,974,483,"1,457","5,106","6,563"
"Armada Township, Precinct 1",107,49,156,685,841
"Armada Township, Precinct 2",70,23,93,512,605
"Lenox Township, Precinct 1",66,29,95,353,448
"Lenox Township, Precinct 2",104,41,145,435,580
"Lenox Township, Precinct 3",122,79,201,279,480
"Lenox Township, Precinct 4",46,16,62,102,164
"Memphis City, Precinct 1",15,14,29,150,179
"Ray Township, Precinct 1",51,32,83,429,512
"Ray Township, Precinct 2",87,36,123,504,627
"Richmond City, Precinct 1",114,72,186,543,729
"Richmond City, Precinct 2",92,50,142,407,549
"Richmond Township, Precinct 1",34,23,57,341,398
"Richmond Township, Precinct 2",66,19,85,366,451
Totals,974,483,"1,457","5,106","6,563"

