Precinct,"Sarah Ann Lucido
Democratic","Courtney Flynn
Democratic","Robert D. Roscoe
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,345","2,149",890,"6,384","4,863","11,247"
"Eastpointe City, Precinct 1",118,46,35,199,85,284
"Eastpointe City, Precinct 2",153,87,65,305,123,428
"Eastpointe City, Precinct 3",145,62,38,245,149,394
"Eastpointe City, Precinct 4",148,72,18,238,165,403
"Eastpointe City, Precinct 5",150,60,19,229,129,358
"Eastpointe City, Precinct 6",138,58,60,256,122,378
"Eastpointe City, Precinct 7",128,64,34,226,80,306
"Eastpointe City, Precinct 8",209,101,55,365,98,463
"Eastpointe City, Precinct 9",132,66,52,250,74,324
"Eastpointe City, Precinct 10",80,40,16,136,100,236
"Eastpointe City, Precinct 11",136,52,45,233,111,344
"Eastpointe City, Precinct 12",197,119,69,385,207,592
"Eastpointe City, Precinct 13",100,57,14,171,57,228
"Eastpointe City, Precinct 14",157,72,62,291,110,401
"St. Clair Shores City, Precinct 1",148,158,64,370,277,647
"St. Clair Shores City, Precinct 2",202,176,31,409,426,835
"St. Clair Shores City, Precinct 4",183,143,19,345,386,731
"St. Clair Shores City, Precinct 5",151,173,37,361,450,811
"St. Clair Shores City, Precinct 6",107,98,10,215,205,420
"St. Clair Shores City, Precinct 7",219,124,24,367,438,805
"St. Clair Shores City, Precinct 8",1,4,0,5,413,418
"Warren City, Precinct 9",49,57,10,116,82,198
"Warren City, Precinct 10",0,3,0,3,1,4
"Warren City, Precinct 13",89,102,55,246,236,482
"Warren City, Precinct 14",53,58,17,128,90,218
"Warren City, Precinct 15",95,53,16,164,110,274
"Warren City, Precinct 16",57,44,25,126,139,265
Totals,"3,345","2,149",890,"6,384","4,863","11,247"

