Precinct,"Ronald A. Singer
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,862","3,862","7,197","11,059"
"Warren City, Precinct 8",75,75,167,242
"Warren City, Precinct 9",56,56,142,198
"Warren City, Precinct 10",1,1,3,4
"Warren City, Precinct 12",50,50,74,124
"Warren City, Precinct 13",156,156,326,482
"Warren City, Precinct 14",67,67,151,218
"Warren City, Precinct 15",72,72,202,274
"Warren City, Precinct 16",96,96,169,265
"Warren City, Precinct 20",193,193,365,558
"Warren City, Precinct 21",174,174,353,527
"Warren City, Precinct 22",81,81,138,219
"Warren City, Precinct 23",108,108,213,321
"Warren City, Precinct 24",46,46,137,183
"Warren City, Precinct 25",203,203,293,496
"Warren City, Precinct 26",158,158,268,426
"Warren City, Precinct 27",192,192,500,692
"Warren City, Precinct 28",242,242,480,722
"Warren City, Precinct 29",215,215,395,610
"Warren City, Precinct 30",251,251,444,695
"Warren City, Precinct 37",203,203,434,637
"Warren City, Precinct 44",299,299,424,723
"Warren City, Precinct 45",219,219,332,551
"Warren City, Precinct 46",257,257,478,735
"Warren City, Precinct 47",149,149,230,379
"Warren City, Precinct 53",299,299,479,778
Totals,"3,862","3,862","7,197","11,059"

