Precinct,"Diane Saber
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,157","3,157","7,721","10,878"
"Eastpointe City, Precinct 1",51,51,233,284
"Eastpointe City, Precinct 2",81,81,347,428
"Eastpointe City, Precinct 3",92,92,302,394
"Eastpointe City, Precinct 4",110,110,293,403
"Eastpointe City, Precinct 5",98,98,260,358
"Eastpointe City, Precinct 6",87,87,291,378
"Eastpointe City, Precinct 7",41,41,265,306
"Eastpointe City, Precinct 8",50,50,413,463
"Eastpointe City, Precinct 9",41,41,283,324
"Eastpointe City, Precinct 10",76,76,160,236
"Eastpointe City, Precinct 11",88,88,256,344
"Eastpointe City, Precinct 12",136,136,456,592
"Eastpointe City, Precinct 13",37,37,191,228
"Eastpointe City, Precinct 14",74,74,327,401
"Roseville City, Precinct 1",169,169,251,420
"Roseville City, Precinct 2",237,237,304,541
"Roseville City, Precinct 3",99,99,285,384
"Roseville City, Precinct 4",110,110,180,290
"Roseville City, Precinct 5",148,148,251,399
"Roseville City, Precinct 6",140,140,193,333
"Roseville City, Precinct 7",132,132,234,366
"Roseville City, Precinct 8",177,177,306,483
"Roseville City, Precinct 9",249,249,391,640
"Roseville City, Precinct 11",166,166,258,424
"Roseville City, Precinct 13",126,126,238,364
"Roseville City, Precinct 15",153,153,332,485
"Roseville City, Precinct 16",99,99,173,272
"Roseville City, Precinct 17",73,73,131,204
"Roseville City, Precinct 18",17,17,117,134
Totals,"3,157","3,157","7,721","10,878"

