Precinct,"Don Brown
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"9,674","9,674","7,457","17,131"
"Armada Township, Precinct 1",426,426,415,841
"Armada Township, Precinct 2",342,342,263,605
"Bruce Township, Precinct 1",215,215,206,421
"Bruce Township, Precinct 2",510,510,334,844
"Bruce Township, Precinct 3",356,356,241,597
"Bruce Township, Precinct 4",407,407,250,657
"Memphis City, Precinct 1",111,111,68,179
"Ray Township, Precinct 1",320,320,192,512
"Ray Township, Precinct 2",370,370,257,627
"Richmond City, Precinct 1",395,395,334,729
"Richmond City, Precinct 2",311,311,238,549
"Richmond Township, Precinct 1",268,268,130,398
"Richmond Township, Precinct 2",256,256,195,451
"Shelby Township, Precinct 16",525,525,495,"1,020"
"Shelby Township, Precinct 17",192,192,202,394
"Shelby Township, Precinct 18",276,276,330,606
"Shelby Township, Precinct 32",183,183,137,320
"Washington Township, Precinct 1",194,194,188,382
"Washington Township, Precinct 2",308,308,293,601
"Washington Township, Precinct 3",457,457,356,813
"Washington Township, Precinct 4",282,282,250,532
"Washington Township, Precinct 5",468,468,292,760
"Washington Township, Precinct 6",588,588,379,967
"Washington Township, Precinct 7",497,497,316,813
"Washington Township, Precinct 8",372,372,336,708
"Washington Township, Precinct 9",228,228,161,389
"Washington Township, Precinct 10",297,297,245,542
"Washington Township, Precinct 11",323,323,223,546
"Washington Township, Precinct 12",197,197,131,328
Totals,"9,674","9,674","7,457","17,131"

