Precinct,"Paul Wojno
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"13,841","13,841","16,009","29,850"
"Center Line City, Precinct 1",159,159,187,346
"Center Line City, Precinct 2",165,165,110,275
"Center Line City, Precinct 3",197,197,147,344
"Center Line City, Precinct 4",99,99,131,230
"Center Line City, Precinct 5",107,107,89,196
"Sterling Heights City, Precinct 20",177,177,202,379
"Sterling Heights City, Precinct 21",213,213,296,509
"Sterling Heights City, Precinct 22",247,247,309,556
"Sterling Heights City, Precinct 23",233,233,329,562
"Sterling Heights City, Precinct 24",273,273,409,682
"Sterling Heights City, Precinct 25",110,110,167,277
"Sterling Heights City, Precinct 26",260,260,291,551
"Sterling Heights City, Precinct 27",185,185,335,520
"Sterling Heights City, Precinct 28",224,224,369,593
"Sterling Heights City, Precinct 29",229,229,381,610
"Sterling Heights City, Precinct 30",266,266,483,749
"Sterling Heights City, Precinct 31",241,241,354,595
"Sterling Heights City, Precinct 32",207,207,292,499
"Sterling Heights City, Precinct 33",123,123,189,312
"Sterling Heights City, Precinct 34",271,271,344,615
"Sterling Heights City, Precinct 35",277,277,340,617
"Sterling Heights City, Precinct 36",278,278,392,670
"Sterling Heights City, Precinct 37",171,171,231,402
"Sterling Heights City, Precinct 38",264,264,370,634
"Sterling Heights City, Precinct 39",203,203,344,547
"Sterling Heights City, Precinct 40",209,209,190,399
"Sterling Heights City, Precinct 41",128,128,156,284
"Sterling Heights City, Precinct 42",328,328,337,665
"Sterling Heights City, Precinct 43",370,370,425,795
"Warren City, Precinct 6",116,116,73,189
"Warren City, Precinct 7",120,120,101,221
"Warren City, Precinct 8",136,136,106,242
"Warren City, Precinct 9",117,117,81,198
"Warren City, Precinct 10",3,3,1,4
"Warren City, Precinct 11",106,106,69,175
"Warren City, Precinct 12",54,54,70,124
"Warren City, Precinct 13",256,256,226,482
"Warren City, Precinct 14",125,125,93,218
"Warren City, Precinct 15",166,166,108,274
"Warren City, Precinct 16",127,127,138,265
"Warren City, Precinct 20",286,286,272,558
"Warren City, Precinct 21",280,280,247,527
"Warren City, Precinct 22",115,115,104,219
"Warren City, Precinct 23",156,156,165,321
"Warren City, Precinct 24",112,112,71,183
"Warren City, Precinct 25",216,216,280,496
"Warren City, Precinct 26",190,190,236,426
"Warren City, Precinct 27",382,382,310,692
"Warren City, Precinct 28",360,360,362,722
"Warren City, Precinct 29",300,300,310,610
"Warren City, Precinct 30",307,307,388,695
"Warren City, Precinct 37",333,333,304,637
"Warren City, Precinct 38",246,246,247,493
"Warren City, Precinct 39",259,259,180,439
"Warren City, Precinct 40",263,263,232,495
"Warren City, Precinct 43",224,224,159,383
"Warren City, Precinct 44",349,349,374,723
"Warren City, Precinct 45",238,238,313,551
"Warren City, Precinct 46",341,341,394,735
"Warren City, Precinct 47",162,162,217,379
"Warren City, Precinct 48",167,167,222,389
"Warren City, Precinct 49",243,243,357,600
"Warren City, Precinct 50",233,233,274,507
"Warren City, Precinct 52",203,203,284,487
"Warren City, Precinct 53",336,336,442,778
Totals,"13,841","13,841","16,009","29,850"

