Precinct,"Denise Mentzer
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"7,828","7,828","11,026","18,854"
"Clinton Township, Precinct 5",106,106,59,165
"Clinton Township, Precinct 6",163,163,137,300
"Clinton Township, Precinct 12",173,173,322,495
"Clinton Township, Precinct 13",86,86,227,313
"Clinton Township, Precinct 14",162,162,119,281
"Clinton Township, Precinct 15",231,231,373,604
"Clinton Township, Precinct 16",360,360,575,935
"Clinton Township, Precinct 17",174,174,252,426
"Clinton Township, Precinct 18",198,198,333,531
"Clinton Township, Precinct 19",160,160,215,375
"Clinton Township, Precinct 20",222,222,257,479
"Clinton Township, Precinct 21",211,211,231,442
"Clinton Township, Precinct 22",194,194,392,586
"Clinton Township, Precinct 23",249,249,502,751
"Clinton Township, Precinct 24",86,86,189,275
"Clinton Township, Precinct 25",158,158,361,519
"Clinton Township, Precinct 26",249,249,246,495
"Clinton Township, Precinct 27",82,82,364,446
"Clinton Township, Precinct 29",115,115,227,342
"Clinton Township, Precinct 30",244,244,313,557
"Clinton Township, Precinct 31",161,161,244,405
"Clinton Township, Precinct 32",145,145,263,408
"Clinton Township, Precinct 33",179,179,254,433
"Clinton Township, Precinct 34",164,164,199,363
"Clinton Township, Precinct 35",195,195,329,524
"Clinton Township, Precinct 39",161,161,168,329
"Mount Clemens City, Precinct 1",213,213,78,291
"Mount Clemens City, Precinct 2",240,240,234,474
"Mount Clemens City, Precinct 3",270,270,281,551
"Mount Clemens City, Precinct 4",134,134,132,266
"Mount Clemens City, Precinct 6",325,325,214,539
"Mount Clemens City, Precinct 9",239,239,315,554
"Sterling Heights City, Precinct 28",219,219,374,593
"Sterling Heights City, Precinct 29",230,230,380,610
"Sterling Heights City, Precinct 30",265,265,484,749
"Sterling Heights City, Precinct 35",272,272,345,617
"Sterling Heights City, Precinct 37",170,170,232,402
"Sterling Heights City, Precinct 38",259,259,375,634
"Sterling Heights City, Precinct 43",364,364,431,795
Totals,"7,828","7,828","11,026","18,854"

