Precinct,"Paul M. Smith
Republican","Joe Hunt
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"7,477","4,261","11,738","18,112","29,850"
"Center Line City, Precinct 1",73,54,127,219,346
"Center Line City, Precinct 2",46,34,80,195,275
"Center Line City, Precinct 3",54,53,107,237,344
"Center Line City, Precinct 4",75,27,102,128,230
"Center Line City, Precinct 5",42,28,70,126,196
"Sterling Heights City, Precinct 20",98,36,134,245,379
"Sterling Heights City, Precinct 21",147,90,237,272,509
"Sterling Heights City, Precinct 22",155,62,217,339,556
"Sterling Heights City, Precinct 23",147,103,250,312,562
"Sterling Heights City, Precinct 24",210,87,297,385,682
"Sterling Heights City, Precinct 25",75,49,124,153,277
"Sterling Heights City, Precinct 26",146,79,225,326,551
"Sterling Heights City, Precinct 27",185,87,272,248,520
"Sterling Heights City, Precinct 28",168,108,276,317,593
"Sterling Heights City, Precinct 29",155,128,283,327,610
"Sterling Heights City, Precinct 30",225,145,370,379,749
"Sterling Heights City, Precinct 31",168,107,275,320,595
"Sterling Heights City, Precinct 32",134,88,222,277,499
"Sterling Heights City, Precinct 33",92,66,158,154,312
"Sterling Heights City, Precinct 34",150,104,254,361,615
"Sterling Heights City, Precinct 35",136,111,247,370,617
"Sterling Heights City, Precinct 36",200,100,300,370,670
"Sterling Heights City, Precinct 37",86,81,167,235,402
"Sterling Heights City, Precinct 38",206,69,275,359,634
"Sterling Heights City, Precinct 39",142,113,255,292,547
"Sterling Heights City, Precinct 40",104,43,147,252,399
"Sterling Heights City, Precinct 41",86,39,125,159,284
"Sterling Heights City, Precinct 42",155,86,241,424,665
"Sterling Heights City, Precinct 43",182,110,292,503,795
"Warren City, Precinct 6",28,17,45,144,189
"Warren City, Precinct 7",33,30,63,158,221
"Warren City, Precinct 8",52,29,81,161,242
"Warren City, Precinct 9",36,24,60,138,198
"Warren City, Precinct 10",0,1,1,3,4
"Warren City, Precinct 11",23,25,48,127,175
"Warren City, Precinct 12",30,21,51,73,124
"Warren City, Precinct 13",96,63,159,323,482
"Warren City, Precinct 14",40,30,70,148,218
"Warren City, Precinct 15",51,27,78,196,274
"Warren City, Precinct 16",61,35,96,169,265
"Warren City, Precinct 20",114,87,201,357,558
"Warren City, Precinct 21",130,52,182,345,527
"Warren City, Precinct 22",59,20,79,140,219
"Warren City, Precinct 23",65,54,119,202,321
"Warren City, Precinct 24",25,22,47,136,183
"Warren City, Precinct 25",153,67,220,276,496
"Warren City, Precinct 26",117,56,173,253,426
"Warren City, Precinct 27",139,69,208,484,692
"Warren City, Precinct 28",155,97,252,470,722
"Warren City, Precinct 29",153,73,226,384,610
"Warren City, Precinct 30",176,110,286,409,695
"Warren City, Precinct 37",156,55,211,426,637
"Warren City, Precinct 38",135,69,204,289,493
"Warren City, Precinct 39",95,31,126,313,439
"Warren City, Precinct 40",95,62,157,338,495
"Warren City, Precinct 43",71,27,98,285,383
"Warren City, Precinct 44",190,105,295,428,723
"Warren City, Precinct 45",163,73,236,315,551
"Warren City, Precinct 46",167,98,265,470,735
"Warren City, Precinct 47",120,44,164,215,379
"Warren City, Precinct 48",82,61,143,246,389
"Warren City, Precinct 49",172,65,237,363,600
"Warren City, Precinct 50",124,68,192,315,507
"Warren City, Precinct 52",135,76,211,276,487
"Warren City, Precinct 53",194,131,325,453,778
Totals,"7,477","4,261","11,738","18,112","29,850"

