Precinct,"Michael Brooks
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"7,557","7,557","13,527","21,084"
"Chesterfield Township, Precinct 3",140,140,414,554
"Chesterfield Township, Precinct 8",121,121,329,450
"Chesterfield Township, Precinct 11",128,128,294,422
"Chesterfield Township, Precinct 19",157,157,249,406
"Clinton Township, Precinct 13",12,12,301,313
"Clinton Township, Precinct 27",107,107,339,446
"Clinton Township, Precinct 28",262,262,334,596
"Clinton Township, Precinct 36",98,98,165,263
"Clinton Township, Precinct 37",258,258,322,580
"Clinton Township, Precinct 38",210,210,190,400
"Clinton Township, Precinct 40",174,174,234,408
"Clinton Township, Precinct 41",178,178,59,237
"Clinton Township, Precinct 42",251,251,307,558
"Fraser City, Precinct 1",147,147,259,406
"Fraser City, Precinct 2",211,211,424,635
"Fraser City, Precinct 3",294,294,373,667
"Fraser City, Precinct 4",194,194,315,509
"Fraser City, Precinct 5",81,81,96,177
"Fraser City, Precinct 6",264,264,457,721
"Fraser City, Precinct 7",160,160,204,364
"Harrison Township, Precinct 1",201,201,328,529
"Harrison Township, Precinct 2",307,307,444,751
"Harrison Township, Precinct 3",202,202,485,687
"Harrison Township, Precinct 4",214,214,459,673
"Harrison Township, Precinct 5",158,158,683,841
"Harrison Township, Precinct 6",224,224,460,684
"Harrison Township, Precinct 7",221,221,567,788
"Harrison Township, Precinct 8",176,176,214,390
"Harrison Township, Precinct 9",157,157,541,698
"Harrison Township, Precinct 10",179,179,435,614
"Roseville City, Precinct 10",131,131,184,315
"Roseville City, Precinct 12",161,161,187,348
"Roseville City, Precinct 14",161,161,217,378
"St. Clair Shores City, Precinct 16",282,282,467,749
"St. Clair Shores City, Precinct 17",346,346,570,916
"St. Clair Shores City, Precinct 18",356,356,525,881
"St. Clair Shores City, Precinct 19",208,208,395,603
"St. Clair Shores City, Precinct 20",246,246,378,624
"St. Clair Shores City, Precinct 21",180,180,323,503
Totals,"7,557","7,557","13,527","21,084"

