Precinct,"Thomas E. Kuhn
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,517","3,517","5,142","8,659"
"Sterling Heights City, Precinct 1",125,125,257,382
"Sterling Heights City, Precinct 2",207,207,358,565
"Sterling Heights City, Precinct 3",194,194,266,460
"Sterling Heights City, Precinct 4",184,184,321,505
"Sterling Heights City, Precinct 5",147,147,267,414
"Sterling Heights City, Precinct 6",143,143,223,366
"Sterling Heights City, Precinct 7",209,209,266,475
"Sterling Heights City, Precinct 8",185,185,241,426
"Sterling Heights City, Precinct 9",227,227,360,587
"Sterling Heights City, Precinct 10",241,241,336,577
"Sterling Heights City, Precinct 11",326,326,444,770
"Sterling Heights City, Precinct 12",148,148,246,394
"Sterling Heights City, Precinct 13",259,259,314,573
"Sterling Heights City, Precinct 14",316,316,433,749
"Sterling Heights City, Precinct 15",254,254,310,564
"Sterling Heights City, Precinct 16",217,217,345,562
"Sterling Heights City, Precinct 17",135,135,155,290
Totals,"3,517","3,517","5,142","8,659"

