Precinct,"Carl J. Marlinga
Democratic","Rhonda Powell
Democratic","Angela Rogensues
Democratic","Huwaida Arraf
Democratic","Henry Yanez
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"28,498","10,097","7,797","6,941","5,426","58,759","72,607","131,366"
"Center Line City, Precinct 1",71,27,31,34,5,168,178,346
"Center Line City, Precinct 2",66,55,26,14,4,165,110,275
"Center Line City, Precinct 3",81,59,22,27,13,202,142,344
"Center Line City, Precinct 4",40,16,25,15,8,104,126,230
"Center Line City, Precinct 5",50,20,18,14,8,110,86,196
"Clinton Township, Precinct 1",113,46,39,23,12,233,214,447
"Clinton Township, Precinct 2",126,82,34,23,8,273,280,553
"Clinton Township, Precinct 3",109,21,33,34,13,210,369,579
"Clinton Township, Precinct 4",150,40,30,20,29,269,356,625
"Clinton Township, Precinct 5",34,35,13,21,5,108,57,165
"Clinton Township, Precinct 6",83,48,21,17,4,173,127,300
"Clinton Township, Precinct 7",104,34,26,30,18,212,290,502
"Clinton Township, Precinct 8",209,35,36,32,24,336,403,739
"Clinton Township, Precinct 9",206,46,44,39,22,357,509,866
"Clinton Township, Precinct 10",119,14,25,15,11,184,329,513
"Clinton Township, Precinct 11",161,34,53,20,5,273,486,759
"Clinton Township, Precinct 12",131,18,16,14,12,191,304,495
"Clinton Township, Precinct 13",54,15,23,9,8,109,204,313
"Clinton Township, Precinct 14",74,65,18,14,4,175,106,281
"Clinton Township, Precinct 15",125,48,31,42,10,256,348,604
"Clinton Township, Precinct 16",243,55,45,28,27,398,537,935
"Clinton Township, Precinct 17",82,43,30,23,6,184,242,426
"Clinton Township, Precinct 18",124,23,37,14,19,217,314,531
"Clinton Township, Precinct 19",105,20,27,8,13,173,202,375
"Clinton Township, Precinct 20",127,33,35,22,23,240,239,479
"Clinton Township, Precinct 21",127,34,35,18,8,222,220,442
"Clinton Township, Precinct 22",104,38,37,17,9,205,381,586
"Clinton Township, Precinct 23",133,36,52,29,18,268,483,751
"Clinton Township, Precinct 24",58,18,11,7,2,96,179,275
"Clinton Township, Precinct 25",107,35,22,8,7,179,340,519
"Clinton Township, Precinct 26",153,67,26,23,4,273,222,495
"Clinton Township, Precinct 27",95,55,25,18,9,202,244,446
"Clinton Township, Precinct 28",140,56,47,25,14,282,314,596
"Clinton Township, Precinct 29",77,26,11,8,7,129,213,342
"Clinton Township, Precinct 30",135,53,30,27,18,263,294,557
"Clinton Township, Precinct 31",113,23,12,13,5,166,239,405
"Clinton Township, Precinct 32",93,26,23,8,10,160,248,408
"Clinton Township, Precinct 33",81,34,31,25,12,183,250,433
"Clinton Township, Precinct 34",80,46,15,22,12,175,188,363
"Clinton Township, Precinct 35",99,48,26,28,10,211,313,524
"Clinton Township, Precinct 36",66,23,7,9,4,109,154,263
"Clinton Township, Precinct 37",139,71,32,19,12,273,307,580
"Clinton Township, Precinct 38",105,45,49,14,13,226,174,400
"Clinton Township, Precinct 39",89,40,20,14,9,172,157,329
"Clinton Township, Precinct 40",81,41,23,32,6,183,225,408
"Clinton Township, Precinct 41",52,140,11,3,2,208,29,237
"Clinton Township, Precinct 42",119,72,39,35,9,274,284,558
"Eastpointe City, Precinct 1",78,67,29,25,8,207,77,284
"Eastpointe City, Precinct 2",123,97,27,43,8,298,130,428
"Eastpointe City, Precinct 3",126,60,35,18,5,244,150,394
"Eastpointe City, Precinct 4",95,49,45,39,13,241,162,403
"Eastpointe City, Precinct 5",100,59,33,13,16,221,137,358
"Eastpointe City, Precinct 6",91,103,26,24,12,256,122,378
"Eastpointe City, Precinct 7",91,78,20,34,9,232,74,306
"Eastpointe City, Precinct 8",116,138,43,36,33,366,97,463
"Eastpointe City, Precinct 9",103,85,30,28,9,255,69,324
"Eastpointe City, Precinct 10",56,40,12,21,12,141,95,236
"Eastpointe City, Precinct 11",106,62,27,31,5,231,113,344
"Eastpointe City, Precinct 12",189,118,54,27,8,396,196,592
"Eastpointe City, Precinct 13",57,67,22,16,2,164,64,228
"Eastpointe City, Precinct 14",102,113,42,30,7,294,107,401
"Fraser City, Precinct 1",91,25,22,20,8,166,240,406
"Fraser City, Precinct 2",142,28,34,22,14,240,395,635
"Fraser City, Precinct 3",203,46,24,32,10,315,352,667
"Fraser City, Precinct 4",128,41,27,16,14,226,283,509
"Fraser City, Precinct 5",54,6,18,7,3,88,89,177
"Fraser City, Precinct 6",174,39,36,30,19,298,423,721
