Precinct,"Lisa Valerio-Nowc
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,685","4,685","7,996","12,681"
"Clinton Township, Precinct 4",276,276,349,625
"Clinton Township, Precinct 5",43,43,122,165
"Clinton Township, Precinct 6",96,96,204,300
"Clinton Township, Precinct 13",142,142,171,313
"Clinton Township, Precinct 14",80,80,201,281
"Clinton Township, Precinct 20",187,187,292,479
"Clinton Township, Precinct 21",166,166,276,442
"Clinton Township, Precinct 24",129,129,146,275
"Clinton Township, Precinct 25",248,248,271,519
"Clinton Township, Precinct 26",156,156,339,495
"Clinton Township, Precinct 27",164,164,282,446
"Clinton Township, Precinct 28",238,238,358,596
"Clinton Township, Precinct 29",163,163,179,342
"Clinton Township, Precinct 30",219,219,338,557
"Clinton Township, Precinct 31",161,161,244,405
"Clinton Township, Precinct 32",176,176,232,408
"Clinton Township, Precinct 33",170,170,263,433
"Clinton Township, Precinct 34",137,137,226,363
"Clinton Township, Precinct 35",254,254,270,524
"Clinton Township, Precinct 36",116,116,147,263
"Clinton Township, Precinct 37",203,203,377,580
"Clinton Township, Precinct 38",127,127,273,400
"Clinton Township, Precinct 41",18,18,219,237
"Clinton Township, Precinct 42",236,236,322,558
"Mount Clemens City, Precinct 1",26,26,265,291
"Mount Clemens City, Precinct 2",146,146,328,474
"Mount Clemens City, Precinct 3",185,185,366,551
"Mount Clemens City, Precinct 4",86,86,180,266
"Mount Clemens City, Precinct 6",123,123,416,539
"Mount Clemens City, Precinct 9",214,214,340,554
Totals,"4,685","4,685","7,996","12,681"

