Precinct,"Don VanSyckel
Republican","Jackie Ryan
Republican","Gary Lusk
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"1,538","1,372","1,068","3,978","5,731","9,709"
"Sterling Heights City, Precinct 1",39,54,36,129,253,382
"Sterling Heights City, Precinct 2",64,82,65,211,354,565
"Sterling Heights City, Precinct 3",91,55,48,194,266,460
"Sterling Heights City, Precinct 4",52,75,62,189,316,505
"Sterling Heights City, Precinct 5",52,67,27,146,268,414
"Sterling Heights City, Precinct 6",56,44,33,133,233,366
"Sterling Heights City, Precinct 7",61,88,59,208,267,475
"Sterling Heights City, Precinct 8",85,68,34,187,239,426
"Sterling Heights City, Precinct 9",103,65,59,227,360,587
"Sterling Heights City, Precinct 10",63,96,82,241,336,577
"Sterling Heights City, Precinct 11",142,113,91,346,424,770
"Sterling Heights City, Precinct 12",64,50,36,150,244,394
"Sterling Heights City, Precinct 13",181,56,46,283,290,573
"Sterling Heights City, Precinct 14",124,89,117,330,419,749
"Sterling Heights City, Precinct 15",106,82,66,254,310,564
"Sterling Heights City, Precinct 16",72,83,52,207,355,562
"Sterling Heights City, Precinct 17",44,58,30,132,158,290
"Sterling Heights City, Precinct 26",86,58,59,203,348,551
"Sterling Heights City, Precinct 32",53,89,66,208,291,499
Totals,"1,538","1,372","1,068","3,978","5,731","9,709"

