Precinct,"Alicia St. Germaine
Republican","Joe Marino
Republican","Hilary Dubay
Republican","Rola Zarife
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,760","3,411","2,197",957,"10,325","10,759","21,084"
"Chesterfield Township, Precinct 3",129,109,77,32,347,207,554
"Chesterfield Township, Precinct 8",124,79,51,20,274,176,450
"Chesterfield Township, Precinct 11",106,78,47,20,251,171,422
"Chesterfield Township, Precinct 19",74,65,54,10,203,203,406
"Clinton Township, Precinct 13",12,2,7,0,21,292,313
"Clinton Township, Precinct 27",25,29,26,5,85,361,446
"Clinton Township, Precinct 28",77,92,87,18,274,322,596
"Clinton Township, Precinct 36",27,51,34,26,138,125,263
"Clinton Township, Precinct 37",60,86,55,39,240,340,580
"Clinton Township, Precinct 38",40,67,23,17,147,253,400
"Clinton Township, Precinct 40",63,84,32,12,191,217,408
"Clinton Township, Precinct 41",6,13,5,1,25,212,237
"Clinton Township, Precinct 42",85,88,61,22,256,302,558
"Fraser City, Precinct 1",33,73,56,34,196,210,406
"Fraser City, Precinct 2",73,121,52,71,317,318,635
"Fraser City, Precinct 3",74,97,50,34,255,412,667
"Fraser City, Precinct 4",61,73,47,28,209,300,509
"Fraser City, Precinct 5",15,22,26,8,71,106,177
"Fraser City, Precinct 6",85,90,80,50,305,416,721
"Fraser City, Precinct 7",29,56,36,21,142,222,364
"Harrison Township, Precinct 1",104,102,43,26,275,254,529
"Harrison Township, Precinct 2",121,120,76,31,348,403,751
"Harrison Township, Precinct 3",193,115,61,31,400,287,687
"Harrison Township, Precinct 4",205,115,51,17,388,285,673
"Harrison Township, Precinct 5",282,169,68,26,545,296,841
"Harrison Township, Precinct 6",130,87,152,26,395,289,684
"Harrison Township, Precinct 7",173,152,123,26,474,314,788
"Harrison Township, Precinct 8",62,76,27,9,174,216,390
"Harrison Township, Precinct 9",225,148,64,26,463,235,698
"Harrison Township, Precinct 10",116,129,85,26,356,258,614
"Roseville City, Precinct 10",49,71,13,9,142,173,315
"Roseville City, Precinct 12",51,42,26,16,135,213,348
"Roseville City, Precinct 14",40,79,27,15,161,217,378
"St. Clair Shores City, Precinct 16",156,122,76,17,371,378,749
"St. Clair Shores City, Precinct 17",186,142,76,46,450,466,916
"St. Clair Shores City, Precinct 18",133,136,115,28,412,469,881
"St. Clair Shores City, Precinct 19",117,84,70,44,315,288,603
"St. Clair Shores City, Precinct 20",123,70,73,48,314,310,624
"St. Clair Shores City, Precinct 21",96,77,65,22,260,243,503
Totals,"3,760","3,411","2,197",957,"10,325","10,759","21,084"

