Precinct,"Stephanie Chang
Democratic","Toinu Reeves
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,365",609,"3,974","3,419","7,393"
"Sterling Heights City, Precinct 1",171,31,202,180,382
"Warren City, Precinct 1",185,50,235,120,355
"Warren City, Precinct 2",196,41,237,131,368
"Warren City, Precinct 3",195,40,235,184,419
"Warren City, Precinct 4",226,31,257,149,406
"Warren City, Precinct 5",198,57,255,196,451
"Warren City, Precinct 17",57,13,70,45,115
"Warren City, Precinct 18",178,49,227,210,437
"Warren City, Precinct 19",292,34,326,302,628
"Warren City, Precinct 31",112,36,148,134,282
"Warren City, Precinct 32",246,40,286,289,575
"Warren City, Precinct 33",153,23,176,154,330
"Warren City, Precinct 34",179,42,221,144,365
"Warren City, Precinct 35",129,24,153,167,320
"Warren City, Precinct 36",258,35,293,326,619
"Warren City, Precinct 41",180,18,198,181,379
"Warren City, Precinct 42",283,22,305,357,662
"Warren City, Precinct 51",127,23,150,150,300
Totals,"3,365",609,"3,974","3,419","7,393"

