Precinct,"Phil Kraft
Republican","Walter Sierengowski
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,430","2,610","8,040","6,784","14,824"
"Chesterfield Township, Precinct 1",254,129,383,374,757
"Chesterfield Township, Precinct 2",259,86,345,300,645
"Chesterfield Township, Precinct 3",199,122,321,233,554
"Chesterfield Township, Precinct 4",152,77,229,223,452
"Chesterfield Township, Precinct 5",236,93,329,321,650
"Chesterfield Township, Precinct 6",212,102,314,240,554
"Chesterfield Township, Precinct 7",155,81,236,170,406
"Chesterfield Township, Precinct 8",179,61,240,210,450
"Chesterfield Township, Precinct 9",182,101,283,297,580
"Chesterfield Township, Precinct 10",395,198,593,375,968
"Chesterfield Township, Precinct 11",141,95,236,186,422
"Chesterfield Township, Precinct 12",188,73,261,275,536
"Chesterfield Township, Precinct 13",242,139,381,326,707
"Chesterfield Township, Precinct 14",163,60,223,174,397
"Chesterfield Township, Precinct 15",298,130,428,356,784
"Chesterfield Township, Precinct 16",222,101,323,285,608
"Chesterfield Township, Precinct 17",59,33,92,116,208
"Chesterfield Township, Precinct 18",134,55,189,172,361
"Chesterfield Township, Precinct 19",119,81,200,206,406
"Lenox Township, Precinct 1",176,90,266,182,448
"Lenox Township, Precinct 2",197,133,330,250,580
"Lenox Township, Precinct 3",150,60,210,270,480
"Lenox Township, Precinct 4",52,35,87,77,164
"New Baltimore City, Precinct 1",143,78,221,171,392
"New Baltimore City, Precinct 2",136,58,194,148,342
"New Baltimore City, Precinct 3",320,120,440,301,741
"New Baltimore City, Precinct 4",210,121,331,296,627
"New Baltimore City, Precinct 5",257,98,355,250,605
Totals,"5,430","2,610","8,040","6,784","14,824"

