Precinct,"Joe Sabatini
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"7,353","7,353","7,202","14,555"
"Macomb Township, Precinct 5",156,156,198,354
"Macomb Township, Precinct 6",186,186,269,455
"Macomb Township, Precinct 7",284,284,285,569
"Macomb Township, Precinct 8",391,391,392,783
"Macomb Township, Precinct 9",106,106,95,201
"Macomb Township, Precinct 12",136,136,109,245
"Macomb Township, Precinct 13",415,415,377,792
"Macomb Township, Precinct 14",273,273,303,576
"Macomb Township, Precinct 17",376,376,347,723
"Macomb Township, Precinct 18",61,61,101,162
"Macomb Township, Precinct 19",312,312,305,617
"Macomb Township, Precinct 20",334,334,301,635
"Macomb Township, Precinct 21",236,236,266,502
"Macomb Township, Precinct 22",257,257,189,446
"Macomb Township, Precinct 23",419,419,488,907
"Macomb Township, Precinct 24",338,338,365,703
"Macomb Township, Precinct 25",212,212,177,389
"Macomb Township, Precinct 26",212,212,183,395
"Macomb Township, Precinct 27",338,338,326,664
"Macomb Township, Precinct 28",250,250,214,464
"Macomb Township, Precinct 29",405,405,388,793
"Macomb Township, Precinct 30",289,289,288,577
"Macomb Township, Precinct 31",209,209,203,412
"Macomb Township, Precinct 32",445,445,424,869
"Macomb Township, Precinct 33",220,220,196,416
"Macomb Township, Precinct 34",222,222,157,379
"Macomb Township, Precinct 35",271,271,256,527
Totals,"7,353","7,353","7,202","14,555"

