Precinct,"Ruth Johnson
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"18,037","18,037","15,161","33,198"
"Bruce Township, Precinct 1",221,221,200,421
"Bruce Township, Precinct 2",512,512,332,844
"Bruce Township, Precinct 3",357,357,240,597
"Bruce Township, Precinct 4",404,404,253,657
"Macomb Township, Precinct 25",4,4,385,389
"Macomb Township, Precinct 26",5,5,390,395
"Macomb Township, Precinct 29",421,421,372,793
"Macomb Township, Precinct 30",299,299,278,577
"Macomb Township, Precinct 31",216,216,196,412
"Macomb Township, Precinct 32",447,447,422,869
"Macomb Township, Precinct 33",219,219,197,416
"Macomb Township, Precinct 34",227,227,152,379
"Macomb Township, Precinct 35",279,279,248,527
"Ray Township, Precinct 1",333,333,179,512
"Ray Township, Precinct 2",385,385,242,627
"Shelby Township, Precinct 1",255,255,183,438
"Shelby Township, Precinct 2",400,400,294,694
"Shelby Township, Precinct 3",173,173,137,310
"Shelby Township, Precinct 4",325,325,255,580
"Shelby Township, Precinct 5",205,205,231,436
"Shelby Township, Precinct 7",381,381,295,676
"Shelby Township, Precinct 8",206,206,153,359
"Shelby Township, Precinct 10",268,268,233,501
"Shelby Township, Precinct 11",309,309,269,578
"Shelby Township, Precinct 12",282,282,179,461
"Shelby Township, Precinct 13",203,203,162,365
"Shelby Township, Precinct 14",381,381,339,720
"Shelby Township, Precinct 15",379,379,347,726
"Shelby Township, Precinct 16",560,560,460,"1,020"
"Shelby Township, Precinct 17",195,195,199,394
"Shelby Township, Precinct 18",285,285,321,606
"Shelby Township, Precinct 19",285,285,224,509
"Shelby Township, Precinct 20",200,200,200,400
"Shelby Township, Precinct 22",551,551,458,"1,009"
"Shelby Township, Precinct 23",524,524,332,856
"Shelby Township, Precinct 24",647,647,440,"1,087"
"Shelby Township, Precinct 25",401,401,318,719
"Shelby Township, Precinct 26",353,353,397,750
"Shelby Township, Precinct 27",302,302,343,645
"Shelby Township, Precinct 28",407,407,467,874
"Shelby Township, Precinct 29",215,215,156,371
"Shelby Township, Precinct 30",288,288,271,559
"Shelby Township, Precinct 31",264,264,175,439
"Shelby Township, Precinct 32",191,191,129,320
"Washington Township, Precinct 1",192,192,190,382
"Washington Township, Precinct 10",294,294,248,542
"Washington Township, Precinct 11",327,327,219,546
"Washington Township, Precinct 12",195,195,133,328
"Washington Township, Precinct 2",309,309,292,601
"Washington Township, Precinct 3",465,465,348,813
"Washington Township, Precinct 4",302,302,230,532
"Washington Township, Precinct 5",481,481,279,760
"Washington Township, Precinct 6",599,599,368,967
"Washington Township, Precinct 7",491,491,322,813
"Washington Township, Precinct 8",381,381,327,708
"Washington Township, Precinct 9",237,237,152,389
Totals,"18,037","18,037","15,161","33,198"

