Precinct,"Dana Camphous-Peterson
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,479","6,479","11,712","18,191"
"Village of Grosse Pointe Shores City, Precinct 3",3,3,35,38
"Harrison Township, Precinct 1",203,203,326,529
"Harrison Township, Precinct 2",304,304,447,751
"Harrison Township, Precinct 3",204,204,483,687
"Harrison Township, Precinct 4",219,219,454,673
"Harrison Township, Precinct 5",167,167,674,841
"Harrison Township, Precinct 6",228,228,456,684
"Harrison Township, Precinct 7",229,229,559,788
"Harrison Township, Precinct 8",173,173,217,390
"Harrison Township, Precinct 9",157,157,541,698
"Harrison Township, Precinct 10",186,186,428,614
"St. Clair Shores City, Precinct 3",416,416,677,"1,093"
"St. Clair Shores City, Precinct 8",159,159,259,418
"St. Clair Shores City, Precinct 9",293,293,398,691
"St. Clair Shores City, Precinct 10",348,348,577,925
"St. Clair Shores City, Precinct 11",301,301,386,687
"St. Clair Shores City, Precinct 12",380,380,731,"1,111"
"St. Clair Shores City, Precinct 13",302,302,424,726
"St. Clair Shores City, Precinct 14",286,286,440,726
"St. Clair Shores City, Precinct 15",305,305,540,845
"St. Clair Shores City, Precinct 16",282,282,467,749
"St. Clair Shores City, Precinct 17",348,348,568,916
"St. Clair Shores City, Precinct 18",361,361,520,881
"St. Clair Shores City, Precinct 19",214,214,389,603
"St. Clair Shores City, Precinct 20",241,241,383,624
"St. Clair Shores City, Precinct 21",170,170,333,503
Totals,"6,479","6,479","11,712","18,191"

