Precinct,"Lori M. Stone
Democratic","Myles W. Miller
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,316","1,039","5,355","5,704","11,059"
"Warren City, Precinct 8",107,34,141,101,242
"Warren City, Precinct 9",86,28,114,84,198
"Warren City, Precinct 10",3,0,3,1,4
"Warren City, Precinct 12",46,7,53,71,124
"Warren City, Precinct 13",171,80,251,231,482
"Warren City, Precinct 14",100,28,128,90,218
"Warren City, Precinct 15",125,43,168,106,274
"Warren City, Precinct 16",112,20,132,133,265
"Warren City, Precinct 20",243,39,282,276,558
"Warren City, Precinct 21",213,61,274,253,527
"Warren City, Precinct 22",97,19,116,103,219
"Warren City, Precinct 23",122,31,153,168,321
"Warren City, Precinct 24",69,44,113,70,183
"Warren City, Precinct 25",186,23,209,287,496
"Warren City, Precinct 26",160,29,189,237,426
"Warren City, Precinct 27",346,46,392,300,692
"Warren City, Precinct 28",248,92,340,382,722
"Warren City, Precinct 29",261,39,300,310,610
"Warren City, Precinct 30",235,46,281,414,695
"Warren City, Precinct 37",273,59,332,305,637
"Warren City, Precinct 44",253,83,336,387,723
"Warren City, Precinct 45",184,44,228,323,551
"Warren City, Precinct 46",268,61,329,406,735
"Warren City, Precinct 47",142,19,161,218,379
"Warren City, Precinct 53",266,64,330,448,778
Totals,"4,316","1,039","5,355","5,704","11,059"

