Precinct,"Mary Berlingieri
Republican","Josh Schriver
Republican","Jacob E. Newby
Republican","Andrew Arendoski
Republican","Charles Shelton
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,284","1,835","1,381",447,395,"6,342","3,558","9,900"
"Bruce Township, Precinct 1",57,71,82,19,19,248,173,421
"Bruce Township, Precinct 2",134,134,213,44,43,568,276,844
"Bruce Township, Precinct 3",99,126,140,11,26,402,195,597
"Bruce Township, Precinct 4",103,146,152,27,31,459,198,657
"Washington Township, Precinct 1",57,67,55,16,26,221,161,382
"Washington Township, Precinct 2",142,115,37,39,12,345,256,601
"Washington Township, Precinct 3",210,158,84,30,28,510,303,813
"Washington Township, Precinct 4",113,105,50,40,21,329,203,532
"Washington Township, Precinct 5",176,152,154,24,25,531,229,760
"Washington Township, Precinct 6",265,169,81,54,52,621,346,967
"Washington Township, Precinct 7",231,124,110,43,30,538,275,813
"Washington Township, Precinct 8",180,122,58,22,23,405,303,708
"Washington Township, Precinct 9",114,74,38,15,16,257,132,389
"Washington Township, Precinct 10",104,119,53,26,15,317,225,542
"Washington Township, Precinct 11",200,99,35,25,15,374,172,546
"Washington Township, Precinct 12",99,54,39,12,13,217,111,328
Totals,"2,284","1,835","1,381",447,395,"6,342","3,558","9,900"

