Precinct,"Michelle Nard
Democratic","Andrey Duzyj
Democratic","Khaja S. Ahmed
Democratic","Terry L. Wisniewski
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"1,380","1,222","1,213","1,148","4,963","4,134","9,097"
"Center Line City, Precinct 1",57,24,29,49,159,187,346
"Center Line City, Precinct 2",71,32,24,34,161,114,275
"Center Line City, Precinct 3",68,23,33,62,186,158,344
"Center Line City, Precinct 4",26,21,18,35,100,130,230
"Center Line City, Precinct 5",29,20,16,39,104,92,196
"Warren City, Precinct 1",50,65,71,52,238,117,355
"Warren City, Precinct 2",73,53,53,63,242,126,368
"Warren City, Precinct 3",44,72,86,46,248,171,419
"Warren City, Precinct 4",56,71,82,48,257,149,406
"Warren City, Precinct 5",45,73,114,38,270,181,451
"Warren City, Precinct 6",39,20,24,35,118,71,189
"Warren City, Precinct 7",58,20,17,24,119,102,221
"Warren City, Precinct 8",51,20,34,31,136,106,242
"Warren City, Precinct 11",37,17,21,28,103,72,175
"Warren City, Precinct 12",24,10,9,10,53,71,124
"Warren City, Precinct 17",24,19,12,19,74,41,115
"Warren City, Precinct 18",44,68,106,24,242,195,437
"Warren City, Precinct 19",78,111,81,67,337,291,628
"Warren City, Precinct 20",107,38,35,81,261,297,558
"Warren City, Precinct 21",81,51,55,85,272,255,527
"Warren City, Precinct 31",28,51,52,20,151,131,282
"Warren City, Precinct 32",76,103,63,49,291,284,575
"Warren City, Precinct 33",49,61,34,39,183,147,330
"Warren City, Precinct 34",65,45,41,70,221,144,365
"Warren City, Precinct 35",26,50,44,30,150,170,320
"Warren City, Precinct 36",74,84,59,70,287,332,619
Totals,"1,380","1,222","1,213","1,148","4,963","4,134","9,097"

