Precinct,"Jaime Greene
Republican","Michael J. Pratt
Republican","Frank J. Wasung
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,963","1,132",226,"4,321","2,242","6,563"
"Armada Township, Precinct 1",342,162,34,538,303,841
"Armada Township, Precinct 2",229,173,31,433,172,605
"Lenox Township, Precinct 1",232,58,10,300,148,448
"Lenox Township, Precinct 2",238,111,19,368,212,580
"Lenox Township, Precinct 3",134,69,17,220,260,480
"Lenox Township, Precinct 4",52,32,4,88,76,164
"Memphis City, Precinct 1",75,45,9,129,50,179
"Ray Township, Precinct 1",242,96,19,357,155,512
"Ray Township, Precinct 2",246,133,33,412,215,627
"Richmond City, Precinct 1",375,78,14,467,262,729
"Richmond City, Precinct 2",312,36,15,363,186,549
"Richmond Township, Precinct 1",262,46,11,319,79,398
"Richmond Township, Precinct 2",224,93,10,327,124,451
Totals,"2,963","1,132",226,"4,321","2,242","6,563"

