Precinct,"Mai Xiong
Democratic","Donna Kaczor Caumartin
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,890","2,585","6,475","6,826","13,301"
"Warren City, Precinct 22",69,50,119,100,219
"Warren City, Precinct 23",103,51,154,167,321
"Warren City, Precinct 24",47,66,113,70,183
"Warren City, Precinct 25",153,65,218,278,496
"Warren City, Precinct 26",135,62,197,229,426
"Warren City, Precinct 27",226,157,383,309,692
"Warren City, Precinct 28",226,144,370,352,722
"Warren City, Precinct 29",188,116,304,306,610
"Warren City, Precinct 30",194,110,304,391,695
"Warren City, Precinct 37",217,128,345,292,637
"Warren City, Precinct 38",149,96,245,248,493
"Warren City, Precinct 39",164,94,258,181,439
"Warren City, Precinct 40",150,116,266,229,495
"Warren City, Precinct 41",136,62,198,181,379
"Warren City, Precinct 42",158,153,311,351,662
"Warren City, Precinct 43",139,92,231,152,383
"Warren City, Precinct 44",193,154,347,376,723
"Warren City, Precinct 45",138,103,241,310,551
"Warren City, Precinct 46",207,142,349,386,735
"Warren City, Precinct 47",120,48,168,211,379
"Warren City, Precinct 48",95,79,174,215,389
"Warren City, Precinct 49",122,130,252,348,600
"Warren City, Precinct 50",154,88,242,265,507
"Warren City, Precinct 51",87,63,150,150,300
"Warren City, Precinct 52",106,92,198,289,487
"Warren City, Precinct 53",214,124,338,440,778
Totals,"3,890","2,585","6,475","6,826","13,301"

