Precinct,"Sylvia Grot
Republican","Jeff Farrington
Republican","Grant G. Golasa
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,701","3,661","1,560","8,922","6,033","14,955"
"Shelby Township, Precinct 1",133,97,57,287,151,438
"Shelby Township, Precinct 2",139,232,62,433,261,694
"Shelby Township, Precinct 3",72,66,40,178,132,310
"Shelby Township, Precinct 4",71,239,48,358,222,580
"Shelby Township, Precinct 5",76,86,54,216,220,436
"Shelby Township, Precinct 6",79,62,18,159,177,336
"Shelby Township, Precinct 7",157,164,110,431,245,676
"Shelby Township, Precinct 8",104,71,47,222,137,359
"Shelby Township, Precinct 9",77,55,20,152,140,292
"Shelby Township, Precinct 10",95,167,34,296,205,501
"Shelby Township, Precinct 11",162,97,70,329,249,578
"Shelby Township, Precinct 12",136,113,59,308,153,461
"Shelby Township, Precinct 13",103,77,42,222,143,365
"Shelby Township, Precinct 14",239,113,95,447,273,720
"Shelby Township, Precinct 15",191,171,83,445,281,726
"Shelby Township, Precinct 19",141,112,68,321,188,509
"Shelby Township, Precinct 20",111,59,45,215,185,400
"Shelby Township, Precinct 21",37,28,17,82,139,221
"Shelby Township, Precinct 22",243,237,116,596,413,"1,009"
"Shelby Township, Precinct 23",295,191,120,606,250,856
"Shelby Township, Precinct 24",340,273,108,721,366,"1,087"
"Shelby Township, Precinct 25",139,269,38,446,273,719
"Shelby Township, Precinct 26",222,104,52,378,372,750
"Shelby Township, Precinct 30",123,147,47,317,242,559
"Shelby Township, Precinct 31",126,107,64,297,142,439
"Utica City, Precinct 1",10,73,5,88,99,187
"Utica City, Precinct 2",32,150,32,214,165,379
"Utica City, Precinct 3",48,101,9,158,210,368
Totals,"3,701","3,661","1,560","8,922","6,033","14,955"

