Precinct,"James Diez
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"6,156","6,156","15,523","21,679"
"Macomb Township, Precinct 25",1,1,388,389
"Macomb Township, Precinct 26",121,121,274,395
"Macomb Township, Precinct 27",195,195,469,664
"Macomb Township, Precinct 28",127,127,337,464
"Macomb Township, Precinct 29",219,219,574,793
"Macomb Township, Precinct 30",172,172,405,577
"Macomb Township, Precinct 31",131,131,281,412
"Macomb Township, Precinct 32",279,279,590,869
"Macomb Township, Precinct 33",131,131,285,416
"Macomb Township, Precinct 34",95,95,284,379
"Shelby Township, Precinct 1",105,105,333,438
"Shelby Township, Precinct 2",190,190,504,694
"Shelby Township, Precinct 3",92,92,218,310
"Shelby Township, Precinct 5",164,164,272,436
"Shelby Township, Precinct 7",196,196,480,676
"Shelby Township, Precinct 8",98,98,261,359
"Shelby Township, Precinct 11",199,199,379,578
"Shelby Township, Precinct 12",99,99,362,461
"Shelby Township, Precinct 13",100,100,265,365
"Shelby Township, Precinct 14",183,183,537,720
"Shelby Township, Precinct 15",201,201,525,726
"Shelby Township, Precinct 16",279,279,741,"1,020"
"Shelby Township, Precinct 17",125,125,269,394
"Shelby Township, Precinct 18",210,210,396,606
"Shelby Township, Precinct 19",134,134,375,509
"Shelby Township, Precinct 20",131,131,269,400
"Shelby Township, Precinct 22",308,308,701,"1,009"
"Shelby Township, Precinct 23",169,169,687,856
"Shelby Township, Precinct 24",227,227,860,"1,087"
"Shelby Township, Precinct 25",192,192,527,719
"Shelby Township, Precinct 26",288,288,462,750
"Shelby Township, Precinct 27",228,228,417,645
"Shelby Township, Precinct 28",320,320,554,874
"Shelby Township, Precinct 29",109,109,262,371
"Shelby Township, Precinct 30",166,166,393,559
"Shelby Township, Precinct 31",95,95,344,439
"Shelby Township, Precinct 32",77,77,243,320
Totals,"6,156","6,156","15,523","21,679"

