Precinct,"Joseph Aragona
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"9,602","9,602","11,042","20,644"
"Chesterfield Township, Precinct 16",0,0,608,608
"Clinton Township, Precinct 1",155,155,292,447
"Clinton Township, Precinct 2",223,223,330,553
"Clinton Township, Precinct 3",283,283,296,579
"Clinton Township, Precinct 4",292,292,333,625
"Clinton Township, Precinct 7",209,209,293,502
"Clinton Township, Precinct 8",314,314,425,739
"Clinton Township, Precinct 9",378,378,488,866
"Clinton Township, Precinct 10",258,258,255,513
"Clinton Township, Precinct 11",368,368,391,759
"Macomb Township, Precinct 1",257,257,315,572
"Macomb Township, Precinct 2",185,185,255,440
"Macomb Township, Precinct 3",287,287,390,677
"Macomb Township, Precinct 4",186,186,211,397
"Macomb Township, Precinct 5",154,154,200,354
"Macomb Township, Precinct 6",190,190,265,455
"Macomb Township, Precinct 7",287,287,282,569
"Macomb Township, Precinct 8",398,398,385,783
"Macomb Township, Precinct 9",103,103,98,201
"Macomb Township, Precinct 10",394,394,412,806
"Macomb Township, Precinct 11",291,291,327,618
"Macomb Township, Precinct 12",136,136,109,245
"Macomb Township, Precinct 13",411,411,381,792
"Macomb Township, Precinct 14",272,272,304,576
"Macomb Township, Precinct 15",439,439,306,745
"Macomb Township, Precinct 16",316,316,296,612
"Macomb Township, Precinct 17",379,379,344,723
"Macomb Township, Precinct 18",63,63,99,162
"Macomb Township, Precinct 19",307,307,310,617
"Macomb Township, Precinct 20",334,334,301,635
"Macomb Township, Precinct 21",237,237,265,502
"Macomb Township, Precinct 22",257,257,189,446
"Macomb Township, Precinct 23",419,419,488,907
"Macomb Township, Precinct 24",338,338,365,703
"Macomb Township, Precinct 25",203,203,186,389
"Macomb Township, Precinct 35",279,279,248,527
Totals,"9,602","9,602","11,042","20,644"

