Precinct,"Brian Jaye
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"12,434","12,434","31,736","44,170"
"Armada Township, Precinct 1",172,172,669,841
"Armada Township, Precinct 2",100,100,505,605
"Bruce Township, Precinct 1",127,127,294,421
"Bruce Township, Precinct 2",175,175,669,844
"Bruce Township, Precinct 3",140,140,457,597
"Bruce Township, Precinct 4",120,120,537,657
"Chesterfield Township, Precinct 1",238,238,519,757
"Chesterfield Township, Precinct 2",206,206,439,645
"Chesterfield Township, Precinct 3",140,140,414,554
"Chesterfield Township, Precinct 4",149,149,303,452
"Chesterfield Township, Precinct 5",216,216,434,650
"Chesterfield Township, Precinct 6",176,176,378,554
"Chesterfield Township, Precinct 7",124,124,282,406
"Chesterfield Township, Precinct 8",122,122,328,450
"Chesterfield Township, Precinct 9",210,210,370,580
"Chesterfield Township, Precinct 10",218,218,750,968
"Chesterfield Township, Precinct 11",129,129,293,422
"Chesterfield Township, Precinct 12",213,213,323,536
"Chesterfield Township, Precinct 13",223,223,484,707
"Chesterfield Township, Precinct 14",117,117,280,397
"Chesterfield Township, Precinct 15",246,246,538,784
"Chesterfield Township, Precinct 16",195,195,413,608
"Chesterfield Township, Precinct 17",85,85,123,208
"Chesterfield Township, Precinct 18",102,102,259,361
"Chesterfield Township, Precinct 19",156,156,250,406
"Lenox Township, Precinct 1",99,99,349,448
"Lenox Township, Precinct 2",153,153,427,580
"Lenox Township, Precinct 3",208,208,272,480
"Lenox Township, Precinct 4",63,63,101,164
"Macomb Township, Precinct 5",164,164,190,354
"Macomb Township, Precinct 6",194,194,261,455
"Macomb Township, Precinct 7",179,179,390,569
"Macomb Township, Precinct 8",262,262,521,783
"Macomb Township, Precinct 9",59,59,142,201
"Macomb Township, Precinct 12",57,57,188,245
"Macomb Township, Precinct 13",272,272,520,792
"Macomb Township, Precinct 14",207,207,369,576
"Macomb Township, Precinct 17",221,221,502,723
"Macomb Township, Precinct 18",90,90,72,162
"Macomb Township, Precinct 19",188,188,429,617
"Macomb Township, Precinct 20",187,187,448,635
"Macomb Township, Precinct 21",184,184,318,502
"Macomb Township, Precinct 22",120,120,326,446
"Macomb Township, Precinct 23",323,323,584,907
"Macomb Township, Precinct 24",232,232,471,703
"Macomb Township, Precinct 25",108,108,281,389
"Macomb Township, Precinct 26",122,122,273,395
"Macomb Township, Precinct 27",198,198,466,664
"Macomb Township, Precinct 28",127,127,337,464
"Macomb Township, Precinct 29",222,222,571,793
"Macomb Township, Precinct 30",172,172,405,577
"Macomb Township, Precinct 31",130,130,282,412
"Macomb Township, Precinct 32",280,280,589,869
"Macomb Township, Precinct 33",135,135,281,416
"Macomb Township, Precinct 34",95,95,284,379
"Macomb Township, Precinct 35",153,153,374,527
"Memphis City, Precinct 1",30,30,149,179
"New Baltimore City, Precinct 1",116,116,276,392
"New Baltimore City, Precinct 2",85,85,257,342
"New Baltimore City, Precinct 3",184,184,557,741
"New Baltimore City, Precinct 4",201,201,426,627
"New Baltimore City, Precinct 5",168,168,437,605
"Ray Township, Precinct 1",86,86,426,512
"Ray Township, Precinct 2",127,127,500,627
"Richmond City, Precinct 1",201,201,528,729
"Richmond City, Precinct 2",141,141,408,549
"Richmond Township, Precinct 1",56,56,342,398
"Richmond Township, Precinct 2",89,89,362,451
"Washington Township, Precinct 1",111,111,271,382
"Washington Township, Precinct 2",173,173,428,601
"Washington Township, Precinct 3",193,193,620,813
"Washington Township, Precinct 4",138,138,394,532
"Washington Township, Precinct 5",118,118,642,760
"Washington Township, Precinct 6",191,191,776,967
"Washington Township, Precinct 7",139,139,674,813
"Washington Township, Precinct 8",195,195,513,708
"Washington Township, Precinct 9",76,76,313,389
"Washington Township, Precinct 10",140,140,402,542
"Washington Township, Precinct 11",104,104,442,546
"Washington Township, Precinct 12",69,69,259,328
Totals,"12,434","12,434","31,736","44,170"

