Precinct,"Linda Rose Clor
Democratic","Carol Shumard Diehl
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,893","2,784","6,677","13,967","20,644"
"Chesterfield Township, Precinct 16",0,1,1,607,608
"Clinton Township, Precinct 1",103,106,209,238,447
"Clinton Township, Precinct 2",145,98,243,310,553
"Clinton Township, Precinct 3",109,77,186,393,579
"Clinton Township, Precinct 4",150,83,233,392,625
"Clinton Township, Precinct 7",101,85,186,316,502
"Clinton Township, Precinct 8",164,117,281,458,739
"Clinton Township, Precinct 9",154,167,321,545,866
"Clinton Township, Precinct 10",93,66,159,354,513
"Clinton Township, Precinct 11",109,120,229,530,759
"Macomb Township, Precinct 1",119,62,181,391,572
"Macomb Township, Precinct 2",84,83,167,273,440
"Macomb Township, Precinct 3",182,78,260,417,677
"Macomb Township, Precinct 4",78,63,141,256,397
"Macomb Township, Precinct 5",105,55,160,194,354
"Macomb Township, Precinct 6",97,86,183,272,455
"Macomb Township, Precinct 7",109,62,171,398,569
"Macomb Township, Precinct 8",137,125,262,521,783
"Macomb Township, Precinct 9",33,29,62,139,201
"Macomb Township, Precinct 10",150,117,267,539,806
"Macomb Township, Precinct 11",139,61,200,418,618
"Macomb Township, Precinct 12",36,18,54,191,245
"Macomb Township, Precinct 13",176,86,262,530,792
"Macomb Township, Precinct 14",93,109,202,374,576
"Macomb Township, Precinct 15",119,52,171,574,745
"Macomb Township, Precinct 16",104,80,184,428,612
"Macomb Township, Precinct 17",128,75,203,520,723
"Macomb Township, Precinct 18",49,33,82,80,162
"Macomb Township, Precinct 19",124,54,178,439,617
"Macomb Township, Precinct 20",95,90,185,450,635
"Macomb Township, Precinct 21",107,66,173,329,502
"Macomb Township, Precinct 22",59,54,113,333,446
"Macomb Township, Precinct 23",192,109,301,606,907
"Macomb Township, Precinct 24",111,115,226,477,703
"Macomb Township, Precinct 25",61,40,101,288,389
"Macomb Township, Precinct 35",78,62,140,387,527
Totals,"3,893","2,784","6,677","13,967","20,644"

