Precinct,"Jay DeBoyer
Republican","Jacky Eubanks
Republican","Jacob Skarbek
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,387","2,275","1,183","6,845","4,475","11,320"
"Chesterfield Township, Precinct 1",191,164,65,420,337,757
"Chesterfield Township, Precinct 2",198,120,70,388,257,645
"Chesterfield Township, Precinct 4",101,101,56,258,194,452
"Chesterfield Township, Precinct 5",192,142,51,385,265,650
"Chesterfield Township, Precinct 6",169,117,56,342,212,554
"Chesterfield Township, Precinct 7",119,105,33,257,149,406
"Chesterfield Township, Precinct 9",151,101,64,316,264,580
"Chesterfield Township, Precinct 10",364,221,72,657,311,968
"Chesterfield Township, Precinct 12",113,93,60,266,270,536
"Chesterfield Township, Precinct 13",173,158,87,418,289,707
"Chesterfield Township, Precinct 14",134,81,34,249,148,397
"Chesterfield Township, Precinct 15",302,129,59,490,294,784
"Chesterfield Township, Precinct 16",175,109,75,359,249,608
"Chesterfield Township, Precinct 17",44,29,27,100,108,208
"Chesterfield Township, Precinct 18",99,65,38,202,159,361
"New Baltimore City, Precinct 1",112,78,53,243,149,392
"New Baltimore City, Precinct 2",107,77,43,227,115,342
"New Baltimore City, Precinct 3",239,149,102,490,251,741
"New Baltimore City, Precinct 4",205,115,59,379,248,627
"New Baltimore City, Precinct 5",199,121,79,399,206,605
Totals,"3,387","2,275","1,183","6,845","4,475","11,320"

