Precinct,"Monica Job
Republican","Gail Hicks
Republican","Steve Arnold
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Armada Township, Precinct 1",229,157,184,570,271,841
"Armada Township, Precinct 2",132,188,126,446,159,605
Totals,361,345,310,"1,016",430,"1,446"

