Precinct,"Lisa McClain
Republican","Michelle R.E. Donovan
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"22,653","5,235","27,888","16,282","44,170"
"Armada Township, Precinct 1",430,141,571,270,841
"Armada Township, Precinct 2",344,101,445,160,605
"Bruce Township, Precinct 1",208,55,263,158,421
"Bruce Township, Precinct 2",522,99,621,223,844
"Bruce Township, Precinct 3",346,72,418,179,597
"Bruce Township, Precinct 4",405,96,501,156,657
"Chesterfield Township, Precinct 1",331,89,420,337,757
"Chesterfield Township, Precinct 2",308,82,390,255,645
"Chesterfield Township, Precinct 3",304,60,364,190,554
"Chesterfield Township, Precinct 4",212,51,263,189,452
"Chesterfield Township, Precinct 5",287,93,380,270,650
"Chesterfield Township, Precinct 6",270,72,342,212,554
"Chesterfield Township, Precinct 7",183,68,251,155,406
"Chesterfield Township, Precinct 8",246,48,294,156,450
"Chesterfield Township, Precinct 9",241,84,325,255,580
"Chesterfield Township, Precinct 10",554,111,665,303,968
"Chesterfield Township, Precinct 11",201,61,262,160,422
"Chesterfield Township, Precinct 12",208,66,274,262,536
"Chesterfield Township, Precinct 13",351,83,434,273,707
"Chesterfield Township, Precinct 14",205,49,254,143,397
"Chesterfield Township, Precinct 15",396,95,491,293,784
"Chesterfield Township, Precinct 16",319,46,365,243,608
"Chesterfield Township, Precinct 17",76,25,101,107,208
"Chesterfield Township, Precinct 18",180,29,209,152,361
"Chesterfield Township, Precinct 19",171,43,214,192,406
"Lenox Township, Precinct 1",261,55,316,132,448
"Lenox Township, Precinct 2",309,88,397,183,580
"Lenox Township, Precinct 3",191,46,237,243,480
"Lenox Township, Precinct 4",67,25,92,72,164
"Macomb Township, Precinct 5",130,33,163,191,354
"Macomb Township, Precinct 6",181,38,219,236,455
"Macomb Township, Precinct 7",260,62,322,247,569
"Macomb Township, Precinct 8",349,88,437,346,783
"Macomb Township, Precinct 9",106,17,123,78,201
"Macomb Township, Precinct 12",133,23,156,89,245
"Macomb Township, Precinct 13",372,84,456,336,792
"Macomb Township, Precinct 14",250,71,321,255,576
"Macomb Township, Precinct 17",358,72,430,293,723
"Macomb Township, Precinct 18",44,20,64,98,162
"Macomb Township, Precinct 19",332,40,372,245,617
"Macomb Township, Precinct 20",299,67,366,269,635
"Macomb Township, Precinct 21",241,33,274,228,502
"Macomb Township, Precinct 22",224,59,283,163,446
"Macomb Township, Precinct 23",402,77,479,428,907
"Macomb Township, Precinct 24",316,54,370,333,703
"Macomb Township, Precinct 25",211,40,251,138,389
"Macomb Township, Precinct 26",181,46,227,168,395
"Macomb Township, Precinct 27",322,60,382,282,664
"Macomb Township, Precinct 28",247,43,290,174,464
"Macomb Township, Precinct 29",435,65,500,293,793
"Macomb Township, Precinct 30",273,82,355,222,577
"Macomb Township, Precinct 31",207,39,246,166,412
"Macomb Township, Precinct 32",397,120,517,352,869
"Macomb Township, Precinct 33",196,48,244,172,416
"Macomb Township, Precinct 34",209,42,251,128,379
"Macomb Township, Precinct 35",271,57,328,199,527
"Memphis City, Precinct 1",99,31,130,49,179
"New Baltimore City, Precinct 1",201,52,253,139,392
"New Baltimore City, Precinct 2",163,66,229,113,342
"New Baltimore City, Precinct 3",389,109,498,243,741
"New Baltimore City, Precinct 4",292,85,377,250,627
"New Baltimore City, Precinct 5",312,87,399,206,605
"Ray Township, Precinct 1",324,70,394,118,512
"Ray Township, Precinct 2",371,81,452,175,627
"Richmond City, Precinct 1",412,73,485,244,729
"Richmond City, Precinct 2",323,46,369,180,549
"Richmond Township, Precinct 1",277,46,323,75,398
"Richmond Township, Precinct 2",282,47,329,122,451
"Washington Township, Precinct 1",190,54,244,138,382
"Washington Township, Precinct 2",315,58,373,228,601
"Washington Township, Precinct 3",438,116,554,259,813
"Washington Township, Precinct 4",284,70,354,178,532
"Washington Township, Precinct 5",476,100,576,184,760
"Washington Township, Precinct 6",554,133,687,280,967
"Washington Township, Precinct 7",480,107,587,226,813
"Washington Township, Precinct 8",371,62,433,275,708
"Washington Township, Precinct 9",223,56,279,110,389
"Washington Township, Precinct 10",260,86,346,196,542
"Washington Township, Precinct 11",343,58,401,145,546
"Washington Township, Precinct 12",202,29,231,97,328
Totals,"22,653","5,235","27,888","16,282","44,170"

