Precinct,"John P. Spica
Democratic","Joe Katich
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"1,620","1,526","3,146","7,299","10,445"
"Chesterfield Township, Precinct 1",101,130,231,526,757
"Chesterfield Township, Precinct 2",117,85,202,443,645
"Chesterfield Township, Precinct 3",66,71,137,417,554
"Chesterfield Township, Precinct 4",101,35,136,316,452
"Chesterfield Township, Precinct 5",73,134,207,443,650
"Chesterfield Township, Precinct 6",99,70,169,385,554
"Chesterfield Township, Precinct 7",54,59,113,293,406
"Chesterfield Township, Precinct 8",76,40,116,334,450
"Chesterfield Township, Precinct 9",90,110,200,380,580
"Chesterfield Township, Precinct 10",99,115,214,754,968
"Chesterfield Township, Precinct 11",38,78,116,306,422
"Chesterfield Township, Precinct 12",132,83,215,321,536
"Chesterfield Township, Precinct 13",115,105,220,487,707
"Chesterfield Township, Precinct 14",69,41,110,287,397
"Chesterfield Township, Precinct 15",109,134,243,541,784
"Chesterfield Township, Precinct 16",109,71,180,428,608
"Chesterfield Township, Precinct 17",41,46,87,121,208
"Chesterfield Township, Precinct 18",67,33,100,261,361
"Chesterfield Township, Precinct 19",64,86,150,256,406
Totals,"1,620","1,526","3,146","7,299","10,445"

