Precinct,"Carole Chi
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"5,214","5,214","7,635","12,849"
"Sterling Heights City, Precinct 18",172,172,375,547
"Sterling Heights City, Precinct 19",146,146,184,330
"Sterling Heights City, Precinct 20",176,176,203,379
"Sterling Heights City, Precinct 21",207,207,302,509
"Sterling Heights City, Precinct 22",243,243,313,556
"Sterling Heights City, Precinct 23",228,228,334,562
"Sterling Heights City, Precinct 24",266,266,416,682
"Sterling Heights City, Precinct 25",107,107,170,277
"Sterling Heights City, Precinct 27",184,184,336,520
"Sterling Heights City, Precinct 28",218,218,375,593
"Sterling Heights City, Precinct 29",223,223,387,610
"Sterling Heights City, Precinct 30",261,261,488,749
"Sterling Heights City, Precinct 31",235,235,360,595
"Sterling Heights City, Precinct 33",117,117,195,312
"Sterling Heights City, Precinct 34",263,263,352,615
"Sterling Heights City, Precinct 35",267,267,350,617
"Sterling Heights City, Precinct 36",272,272,398,670
"Sterling Heights City, Precinct 37",167,167,235,402
"Sterling Heights City, Precinct 38",259,259,375,634
"Sterling Heights City, Precinct 39",195,195,352,547
"Sterling Heights City, Precinct 40",206,206,193,399
"Sterling Heights City, Precinct 41",123,123,161,284
"Sterling Heights City, Precinct 42",313,313,352,665
"Sterling Heights City, Precinct 43",366,366,429,795
Totals,"5,214","5,214","7,635","12,849"

