Precinct,"Barbara Zinner
Republican","Shannon Peltier
Republican","Linda Burns Torp
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,690","2,367","2,327","8,384","9,807","18,191"
"Village of Grosse Pointe Shores City, Precinct 3",9,6,5,20,18,38
"Harrison Township, Precinct 1",128,57,68,253,276,529
"Harrison Township, Precinct 2",167,89,68,324,427,751
"Harrison Township, Precinct 3",168,94,101,363,324,687
"Harrison Township, Precinct 4",174,62,116,352,321,673
"Harrison Township, Precinct 5",286,106,110,502,339,841
"Harrison Township, Precinct 6",121,69,171,361,323,684
"Harrison Township, Precinct 7",251,87,113,451,337,788
"Harrison Township, Precinct 8",73,49,36,158,232,390
"Harrison Township, Precinct 9",225,108,90,423,275,698
"Harrison Township, Precinct 10",172,63,100,335,279,614
"St. Clair Shores City, Precinct 3",197,94,156,447,646,"1,093"
"St. Clair Shores City, Precinct 8",69,51,44,164,254,418
"St. Clair Shores City, Precinct 9",80,91,67,238,453,691
"St. Clair Shores City, Precinct 10",116,97,151,364,561,925
"St. Clair Shores City, Precinct 11",108,85,46,239,448,687
"St. Clair Shores City, Precinct 12",194,167,123,484,627,"1,111"
"St. Clair Shores City, Precinct 13",119,89,86,294,432,726
"St. Clair Shores City, Precinct 14",130,119,62,311,415,726
"St. Clair Shores City, Precinct 15",139,143,89,371,474,845
"St. Clair Shores City, Precinct 16",142,102,101,345,404,749
"St. Clair Shores City, Precinct 17",169,129,118,416,500,916
"St. Clair Shores City, Precinct 18",132,128,106,366,515,881
"St. Clair Shores City, Precinct 19",108,93,85,286,317,603
"St. Clair Shores City, Precinct 20",131,93,67,291,333,624
"St. Clair Shores City, Precinct 21",82,96,48,226,277,503
Totals,"3,690","2,367","2,327","8,384","9,807","18,191"

