Precinct,"Brad Kersten
Republican","Paul S. Lafata
Republican","Michele Ficht
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,033","1,898","1,051","5,982","4,463","10,445"
"Chesterfield Township, Precinct 1",190,141,72,403,354,757
"Chesterfield Township, Precinct 2",166,153,54,373,272,645
"Chesterfield Township, Precinct 3",179,130,51,360,194,554
"Chesterfield Township, Precinct 4",129,69,50,248,204,452
"Chesterfield Township, Precinct 5",174,124,50,348,302,650
"Chesterfield Township, Precinct 6",154,114,61,329,225,554
"Chesterfield Township, Precinct 7",136,69,45,250,156,406
"Chesterfield Township, Precinct 8",155,65,49,269,181,450
"Chesterfield Township, Precinct 9",133,105,64,302,278,580
"Chesterfield Township, Precinct 10",358,181,100,639,329,968
"Chesterfield Township, Precinct 11",149,76,29,254,168,422
"Chesterfield Township, Precinct 12",112,103,49,264,272,536
"Chesterfield Township, Precinct 13",204,109,91,404,303,707
"Chesterfield Township, Precinct 14",136,71,34,241,156,397
"Chesterfield Township, Precinct 15",253,138,64,455,329,784
"Chesterfield Township, Precinct 16",187,92,59,338,270,608
"Chesterfield Township, Precinct 17",55,28,15,98,110,208
"Chesterfield Township, Precinct 18",81,65,63,209,152,361
"Chesterfield Township, Precinct 19",82,65,51,198,208,406
Totals,"3,033","1,898","1,051","5,982","4,463","10,445"

