Precinct,"Michael E. LaBuhn
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,854","3,854","13,277","17,131"
"Armada Township, Precinct 1",178,178,663,841
"Armada Township, Precinct 2",99,99,506,605
"Bruce Township, Precinct 1",126,126,295,421
"Bruce Township, Precinct 2",172,172,672,844
"Bruce Township, Precinct 3",140,140,457,597
"Bruce Township, Precinct 4",117,117,540,657
"Memphis City, Precinct 1",29,29,150,179
"Ray Township, Precinct 1",83,83,429,512
"Ray Township, Precinct 2",126,126,501,627
"Richmond City, Precinct 1",197,197,532,729
"Richmond City, Precinct 2",143,143,406,549
"Richmond Township, Precinct 1",55,55,343,398
"Richmond Township, Precinct 2",87,87,364,451
"Shelby Township, Precinct 16",275,275,745,"1,020"
"Shelby Township, Precinct 17",124,124,270,394
"Shelby Township, Precinct 18",209,209,397,606
"Shelby Township, Precinct 32",78,78,242,320
"Washington Township, Precinct 1",107,107,275,382
"Washington Township, Precinct 2",167,167,434,601
"Washington Township, Precinct 3",189,189,624,813
"Washington Township, Precinct 4",138,138,394,532
"Washington Township, Precinct 5",120,120,640,760
"Washington Township, Precinct 6",189,189,778,967
"Washington Township, Precinct 7",139,139,674,813
"Washington Township, Precinct 8",187,187,521,708
"Washington Township, Precinct 9",76,76,313,389
"Washington Township, Precinct 10",134,134,408,542
"Washington Township, Precinct 11",103,103,443,546
"Washington Township, Precinct 12",67,67,261,328
Totals,"3,854","3,854","13,277","17,131"

