Precinct,"Susan Hier
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"1,634","1,634","5,747","7,381"
"Washington Township, Precinct 1",106,106,276,382
"Washington Township, Precinct 2",169,169,432,601
"Washington Township, Precinct 3",193,193,620,813
"Washington Township, Precinct 4",138,138,394,532
"Washington Township, Precinct 5",118,118,642,760
"Washington Township, Precinct 6",194,194,773,967
"Washington Township, Precinct 7",138,138,675,813
"Washington Township, Precinct 8",193,193,515,708
"Washington Township, Precinct 9",79,79,310,389
"Washington Township, Precinct 10",133,133,409,542
"Washington Township, Precinct 11",104,104,442,546
"Washington Township, Precinct 12",69,69,259,328
Totals,"1,634","1,634","5,747","7,381"

