Precinct,"Wendy Jo Watters
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"2,538","2,538","6,365","8,903"
"Center Line City, Precinct 1",119,119,227,346
"Center Line City, Precinct 2",77,77,198,275
"Center Line City, Precinct 3",103,103,241,344
"Center Line City, Precinct 4",88,88,142,230
"Center Line City, Precinct 5",66,66,130,196
"Warren City, Precinct 1",70,70,285,355
"Warren City, Precinct 2",83,83,285,368
"Warren City, Precinct 3",110,110,309,419
"Warren City, Precinct 4",109,109,297,406
"Warren City, Precinct 5",120,120,331,451
"Warren City, Precinct 6",36,36,153,189
"Warren City, Precinct 7",61,61,160,221
"Warren City, Precinct 11",45,45,130,175
"Warren City, Precinct 17",29,29,86,115
"Warren City, Precinct 18",126,126,311,437
"Warren City, Precinct 19",202,202,426,628
"Warren City, Precinct 31",80,80,202,282
"Warren City, Precinct 32",174,174,401,575
"Warren City, Precinct 33",86,86,244,330
"Warren City, Precinct 34",89,89,276,365
"Warren City, Precinct 35",98,98,222,320
"Warren City, Precinct 36",205,205,414,619
"Warren City, Precinct 40",156,156,339,495
"Warren City, Precinct 41",114,114,265,379
"Warren City, Precinct 43",92,92,291,383
Totals,"2,538","2,538","6,365","8,903"

