Precinct,"Mike MacDonald
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"20,511","20,511","28,204","48,715"
"Clinton Township, Precinct 1",159,159,288,447
"Clinton Township, Precinct 2",232,232,321,553
"Clinton Township, Precinct 3",289,289,290,579
"Clinton Township, Precinct 4",296,296,329,625
"Clinton Township, Precinct 5",43,43,122,165
"Clinton Township, Precinct 6",39,39,261,300
"Clinton Township, Precinct 7",214,214,288,502
"Clinton Township, Precinct 8",320,320,419,739
"Clinton Township, Precinct 9",393,393,473,866
"Clinton Township, Precinct 10",263,263,250,513
"Clinton Township, Precinct 11",374,374,385,759
"Clinton Township, Precinct 12",250,250,245,495
"Clinton Township, Precinct 13",158,158,155,313
"Clinton Township, Precinct 15",278,278,326,604
"Clinton Township, Precinct 16",426,426,509,935
"Clinton Township, Precinct 17",180,180,246,426
"Clinton Township, Precinct 18",241,241,290,531
"Clinton Township, Precinct 19",160,160,215,375
"Clinton Township, Precinct 20",201,201,278,479
"Clinton Township, Precinct 21",172,172,270,442
"Clinton Township, Precinct 22",296,296,290,586
"Clinton Township, Precinct 23",375,375,376,751
"Clinton Township, Precinct 24",137,137,138,275
"Clinton Township, Precinct 25",271,271,248,519
"Clinton Township, Precinct 26",169,169,326,495
"Clinton Township, Precinct 27",13,13,433,446
"Clinton Township, Precinct 29",167,167,175,342
"Clinton Township, Precinct 30",228,228,329,557
"Clinton Township, Precinct 31",174,174,231,405
"Clinton Township, Precinct 32",178,178,230,408
"Clinton Township, Precinct 33",193,193,240,433
"Clinton Township, Precinct 34",145,145,218,363
"Clinton Township, Precinct 35",262,262,262,524
"Clinton Township, Precinct 39",124,124,205,329
"Clinton Township, Precinct 40",182,182,226,408
"Eastpointe City, Precinct 1",58,58,226,284
"Eastpointe City, Precinct 2",84,84,344,428
"Eastpointe City, Precinct 3",97,97,297,394
"Eastpointe City, Precinct 4",114,114,289,403
"Eastpointe City, Precinct 5",104,104,254,358
"Eastpointe City, Precinct 6",89,89,289,378
"Eastpointe City, Precinct 7",43,43,263,306
"Eastpointe City, Precinct 8",56,56,407,463
"Eastpointe City, Precinct 9",43,43,281,324
"Eastpointe City, Precinct 10",78,78,158,236
"Eastpointe City, Precinct 11",89,89,255,344
"Eastpointe City, Precinct 12",138,138,454,592
"Eastpointe City, Precinct 13",36,36,192,228
"Eastpointe City, Precinct 14",76,76,325,401
"Fraser City, Precinct 1",179,179,227,406
"Fraser City, Precinct 2",296,296,339,635
"Fraser City, Precinct 3",246,246,421,667
"Fraser City, Precinct 4",195,195,314,509
"Fraser City, Precinct 5",60,60,117,177
"Fraser City, Precinct 6",281,281,440,721
"Fraser City, Precinct 7",137,137,227,364
"Macomb Township, Precinct 1",262,262,310,572
"Macomb Township, Precinct 2",196,196,244,440
"Macomb Township, Precinct 3",296,296,381,677
"Macomb Township, Precinct 4",192,192,205,397
"Macomb Township, Precinct 5",155,155,199,354
"Macomb Township, Precinct 6",199,199,256,455
"Macomb Township, Precinct 7",293,293,276,569
"Macomb Township, Precinct 8",409,409,374,783
"Macomb Township, Precinct 9",108,108,93,201
"Macomb Township, Precinct 10",401,401,405,806
"Macomb Township, Precinct 11",297,297,321,618
"Macomb Township, Precinct 12",137,137,108,245
"Macomb Township, Precinct 13",420,420,372,792
"Macomb Township, Precinct 14",281,281,295,576
"Macomb Township, Precinct 15",450,450,295,745
"Macomb Township, Precinct 16",323,323,289,612
"Macomb Township, Precinct 17",385,385,338,723
"Macomb Township, Precinct 18",63,63,99,162
"Macomb Township, Precinct 19",320,320,297,617
"Macomb Township, Precinct 20",340,340,295,635
"Macomb Township, Precinct 21",243,243,259,502
"Macomb Township, Precinct 22",260,260,186,446
"Macomb Township, Precinct 23",436,436,471,907
"Macomb Township, Precinct 24",345,345,358,703
"Macomb Township, Precinct 25",214,214,175,389
"Macomb Township, Precinct 26",207,207,188,395
"Macomb Township, Precinct 27",352,352,312,664
"Macomb Township, Precinct 28",263,263,201,464
"Macomb Township, Precinct 34",6,6,373,379
"Roseville City, Precinct 1",177,177,243,420
"Roseville City, Precinct 2",239,239,302,541
"Roseville City, Precinct 3",102,102,282,384
"Roseville City, Precinct 4",112,112,178,290
"Roseville City, Precinct 5",150,150,249,399
"Roseville City, Precinct 6",147,147,186,333
"Roseville City, Precinct 7",139,139,227,366
"Roseville City, Precinct 8",180,180,303,483
"Roseville City, Precinct 9",253,253,387,640
"Roseville City, Precinct 10",138,138,177,315
"Roseville City, Precinct 11",168,168,256,424
"Roseville City, Precinct 12",116,116,232,348
"Roseville City, Precinct 13",125,125,239,364
"Roseville City, Precinct 14",162,162,216,378
"Roseville City, Precinct 15",158,158,327,485
"Roseville City, Precinct 16",101,101,171,272
"Roseville City, Precinct 17",71,71,133,204
"Roseville City, Precinct 18",19,19,115,134
Totals,"20,511","20,511","28,204","48,715"

