Precinct,"Tudor M. Dixon
Republican","Kevin Rinke
Republican","Ryan D. Kelley
Republican","Garrett Soldano
Republican","Ralph Rebandt
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"39,384","21,518","12,266","10,937","2,894","86,999","88,537","175,536"
"Armada Township, Precinct 1",204,121,84,123,25,557,284,841
"Armada Township, Precinct 2",175,82,91,83,24,455,150,605
"Bruce Township, Precinct 1",95,83,42,31,4,255,166,421
"Bruce Township, Precinct 2",262,148,85,95,23,613,231,844
"Bruce Township, Precinct 3",197,105,41,59,7,409,188,597
"Bruce Township, Precinct 4",191,126,88,68,20,493,164,657
"Center Line City, Precinct 1",64,38,21,12,3,138,208,346
"Center Line City, Precinct 2",31,23,18,13,4,89,186,275
"Center Line City, Precinct 3",43,33,16,14,6,112,232,344
"Center Line City, Precinct 4",38,38,9,10,5,100,130,230
"Center Line City, Precinct 5",30,16,8,14,7,75,121,196
"Chesterfield Township, Precinct 1",185,82,66,75,17,425,332,757
"Chesterfield Township, Precinct 2",140,100,67,46,12,365,280,645
"Chesterfield Township, Precinct 3",160,92,35,37,15,339,215,554
"Chesterfield Township, Precinct 4",100,84,20,35,11,250,202,452
"Chesterfield Township, Precinct 5",152,95,41,54,14,356,294,650
"Chesterfield Township, Precinct 6",132,76,65,52,4,329,225,554
"Chesterfield Township, Precinct 7",99,48,49,36,12,244,162,406
"Chesterfield Township, Precinct 8",116,83,41,33,10,283,167,450
"Chesterfield Township, Precinct 9",129,93,33,44,11,310,270,580
"Chesterfield Township, Precinct 10",296,186,57,86,17,642,326,968
"Chesterfield Township, Precinct 11",113,49,39,36,6,243,179,422
"Chesterfield Township, Precinct 12",103,53,56,48,9,269,267,536
"Chesterfield Township, Precinct 13",167,94,65,76,16,418,289,707
"Chesterfield Township, Precinct 14",88,62,40,37,13,240,157,397
"Chesterfield Township, Precinct 15",235,111,61,54,14,475,309,784
"Chesterfield Township, Precinct 16",173,86,37,42,13,351,257,608
"Chesterfield Township, Precinct 17",34,27,22,12,6,101,107,208
"Chesterfield Township, Precinct 18",90,42,24,35,8,199,162,361
"Chesterfield Township, Precinct 19",95,34,33,33,9,204,202,406
"Clinton Township, Precinct 1",72,34,39,18,7,170,277,447
"Clinton Township, Precinct 2",117,60,29,20,8,234,319,553
"Clinton Township, Precinct 3",152,85,30,31,10,308,271,579
"Clinton Township, Precinct 4",150,81,31,27,16,305,320,625
"Clinton Township, Precinct 5",25,6,8,8,0,47,118,165
"Clinton Township, Precinct 6",55,15,19,11,3,103,197,300
"Clinton Township, Precinct 7",101,67,38,23,5,234,268,502
"Clinton Township, Precinct 8",139,94,55,37,5,330,409,739
"Clinton Township, Precinct 9",203,101,51,32,16,403,463,866
"Clinton Township, Precinct 10",133,76,29,30,4,272,241,513
"Clinton Township, Precinct 11",189,96,44,49,12,390,369,759
"Clinton Township, Precinct 12",120,76,29,24,8,257,238,495
"Clinton Township, Precinct 13",90,50,18,10,4,172,141,313
"Clinton Township, Precinct 14",39,16,14,9,7,85,196,281
"Clinton Township, Precinct 15",121,86,35,34,12,288,316,604
"Clinton Township, Precinct 16",205,111,67,57,11,451,484,935
"Clinton Township, Precinct 17",97,39,46,13,2,197,229,426
"Clinton Township, Precinct 18",111,64,48,27,5,255,276,531
"Clinton Township, Precinct 19",79,49,21,17,5,171,204,375
"Clinton Township, Precinct 20",86,57,36,18,4,201,278,479
"Clinton Township, Precinct 21",92,43,29,14,5,183,259,442
"Clinton Township, Precinct 22",139,78,53,29,10,309,277,586
"Clinton Township, Precinct 23",156,109,60,56,18,399,352,751
"Clinton Township, Precinct 24",73,34,16,17,7,147,128,275
"Clinton Township, Precinct 25",136,79,29,32,9,285,234,519
"Clinton Township, Precinct 26",72,41,24,31,6,174,321,495
"Clinton Township, Precinct 27",92,36,43,28,6,205,241,446
"Clinton Township, Precinct 28",143,67,37,21,3,271,325,596
"Clinton Township, Precinct 29",67,55,23,25,5,175,167,342
"Clinton Township, Precinct 30",110,66,42,24,6,248,309,557
"Clinton Township, Precinct 31",88,40,36,33,4,201,204,405
"Clinton Township, Precinct 32",77,47,42,22,7,195,213,408
"Clinton Township, Precinct 33",89,41,37,25,6,198,235,433
"Clinton Township, Precinct 34",68,33,25,14,7,147,216,363
"Clinton Township, Precinct 35",119,79,31,35,10,274,250,524
"Clinton Township, Precinct 36",69,26,19,19,9,142,121,263
"Clinton Township, Precinct 37",120,49,32,19,8,228,352,580
"Clinton Township, Precinct 38",67,21,30,11,15,144,256,400
"Clinton Township, Precinct 39",67,21,20,19,8,135,194,329
"Clinton Township, Precinct 40",87,41,37,24,4,193,215,408
"Clinton Township, Precinct 41",8,7,4,3,3,25,212,237
"Clinton Township, Precinct 42",112,54,36,24,8,234,324,558
"Eastpointe City, Precinct 1",26,10,15,7,2,60,224,284
"Eastpointe City, Precinct 2",44,17,16,8,3,88,340,428
"Eastpointe City, Precinct 3",39,32,14,12,5,102,292,394
"Eastpointe City, Precinct 4",47,40,14,16,3,120,283,403
"Eastpointe City, Precinct 5",53,21,9,19,2,104,254,358
"Eastpointe City, Precinct 6",45,24,17,11,0,97,281,378
"Eastpointe City, Precinct 7",21,16,5,5,1,48,258,306
"Eastpointe City, Precinct 8",33,16,5,2,3,59,404,463
"Eastpointe City, Precinct 9",18,22,3,3,2,48,276,324
"Eastpointe City, Precinct 10",39,18,8,4,5,74,162,236
"Eastpointe City, Precinct 11",52,13,13,7,4,89,255,344
"Eastpointe City, Precinct 12",66,37,17,11,5,136,456,592
"Eastpointe City, Precinct 13",18,10,6,3,1,38,190,228
"Eastpointe City, Precinct 14",35,27,6,6,1,75,326,401
"Fraser City, Precinct 1",91,41,28,33,7,200,206,406
"Fraser City, Precinct 2",153,73,22,68,12,328,307,635
"Fraser City, Precinct 3",117,44,53,54,7,275,392,667
"Fraser City, Precinct 4",104,44,30,26,6,210,299,509
"Fraser City, Precinct 5",25,11,12,21,2,71,106,177
"Fraser City, Precinct 6",159,83,28,43,16,329,392,721
"Fraser City, Precinct 7",59,31,18,25,6,139,225,364
"Harrison Township, Precinct 1",117,69,40,28,8,262,267,529
"Harrison Township, Precinct 2",168,94,50,34,10,356,395,751
"Harrison Township, Precinct 3",186,107,38,50,6,387,300,687
"Harrison Township, Precinct 4",131,115,46,44,12,348,325,673
"Harrison Township, Precinct 5",247,178,57,51,8,541,300,841
"Harrison Township, Precinct 6",162,109,43,35,12,361,323,684
"Harrison Township, Precinct 7",201,144,42,55,19,461,327,788
"Harrison Township, Precinct 8",73,53,14,19,6,165,225,390
"Harrison Township, Precinct 9",205,138,38,50,19,450,248,698
"Harrison Township, Precinct 10",162,83,40,57,10,352,262,614
"Lenox Township, Precinct 1",129,72,57,48,7,313,135,448
"Lenox Township, Precinct 2",170,88,49,60,18,385,195,580
"Lenox Township, Precinct 3",93,42,51,41,4,231,249,480
"Lenox Township, Precinct 4",35,15,28,7,4,89,75,164
"Macomb Township, Precinct 1",149,73,31,27,12,292,280,572
"Macomb Township, Precinct 2",84,48,35,21,4,192,248,440
"Macomb Township, Precinct 3",160,76,44,47,14,341,336,677
"Macomb Township, Precinct 4",82,63,23,27,6,201,196,397
"Macomb Township, Precinct 5",71,37,30,20,2,160,194,354
"Macomb Township, Precinct 6",98,52,27,26,10,213,242,455
"Macomb Township, Precinct 7",130,93,38,47,15,323,246,569
"Macomb Township, Precinct 8",192,97,54,64,13,420,363,783
"Macomb Township, Precinct 9",59,20,15,22,6,122,79,201
"Macomb Township, Precinct 10",230,103,54,38,7,432,374,806
"Macomb Township, Precinct 11",154,69,53,43,19,338,280,618
"Macomb Township, Precinct 12",81,37,18,17,4,157,88,245
"Macomb Township, Precinct 13",211,107,61,59,13,451,341,792
"Macomb Township, Precinct 14",145,71,26,64,10,316,260,576
"Macomb Township, Precinct 15",239,109,69,66,6,489,256,745
"Macomb Township, Precinct 16",144,96,43,47,9,339,273,612
"Macomb Township, Precinct 17",182,117,50,56,8,413,310,723
"Macomb Township, Precinct 18",30,17,7,4,3,61,101,162
"Macomb Township, Precinct 19",187,82,50,39,5,363,254,617
"Macomb Township, Precinct 20",157,75,51,61,13,357,278,635
"Macomb Township, Precinct 21",133,51,36,34,6,260,242,502
"Macomb Township, Precinct 22",122,60,25,57,9,273,173,446
"Macomb Township, Precinct 23",212,136,43,45,25,461,446,907
"Macomb Township, Precinct 24",139,136,36,35,12,358,345,703
"Macomb Township, Precinct 25",108,63,29,35,9,244,145,389
"Macomb Township, Precinct 26",98,58,35,36,4,231,164,395
"Macomb Township, Precinct 27",173,96,66,40,2,377,287,664
"Macomb Township, Precinct 28",112,80,45,40,13,290,174,464
"Macomb Township, Precinct 29",214,128,60,75,15,492,301,793
"Macomb Township, Precinct 30",157,71,71,39,14,352,225,577
"Macomb Township, Precinct 31",115,52,37,27,11,242,170,412
"Macomb Township, Precinct 32",226,146,58,54,15,499,370,869
"Macomb Township, Precinct 33",93,65,31,25,13,227,189,416
"Macomb Township, Precinct 34",116,63,31,33,5,248,131,379
"Macomb Township, Precinct 35",156,76,41,37,10,320,207,527
"Memphis City, Precinct 1",47,23,25,27,9,131,48,179
"Mount Clemens City, Precinct 1",13,14,9,4,1,41,250,291
"Mount Clemens City, Precinct 2",70,45,27,29,4,175,299,474
"Mount Clemens City, Precinct 3",91,46,38,35,12,222,329,551
"Mount Clemens City, Precinct 4",39,16,22,21,3,101,165,266
"Mount Clemens City, Precinct 6",70,37,17,14,6,144,395,539
"Mount Clemens City, Precinct 9",105,61,36,54,2,258,296,554
"New Baltimore City, Precinct 1",124,54,29,34,9,250,142,392
"New Baltimore City, Precinct 2",93,50,33,32,7,215,127,342
"New Baltimore City, Precinct 3",235,109,75,51,14,484,257,741
"New Baltimore City, Precinct 4",154,90,52,60,14,370,257,627
"New Baltimore City, Precinct 5",172,114,33,48,9,376,229,605
"Ray Township, Precinct 1",150,85,87,56,11,389,123,512
"Ray Township, Precinct 2",192,83,80,71,22,448,179,627
"Richmond City, Precinct 1A",206,100,62,84,13,465,264,729
"Richmond City, Precinct 2",163,70,57,67,5,362,187,549
"Richmond Township, Precinct 1",124,59,52,70,8,313,85,398
"Richmond Township, Precinct 2",144,61,57,60,6,328,123,451
"Roseville City, Precinct 1",86,46,30,14,4,180,240,420
"Roseville City, Precinct 2",121,56,38,22,10,247,294,541
"Roseville City, Precinct 3",49,26,8,9,8,100,284,384
"Roseville City, Precinct 4",66,17,14,14,0,111,179,290
"Roseville City, Precinct 5",80,31,22,13,7,153,246,399
"Roseville City, Precinct 6",74,41,18,18,2,153,180,333
"Roseville City, Precinct 7",48,36,21,18,8,131,235,366
"Roseville City, Precinct 8",93,43,26,21,6,189,294,483
"Roseville City, Precinct 9",103,78,42,40,6,269,371,640
"Roseville City, Precinct 10",61,26,30,27,5,149,166,315
"Roseville City, Precinct 11",63,50,35,16,3,167,257,424
"Roseville City, Precinct 12",49,44,10,24,6,133,215,348
"Roseville City, Precinct 13",57,34,12,25,6,134,230,364
"Roseville City, Precinct 14",74,56,22,20,2,174,204,378
"Roseville City, Precinct 15",81,40,27,16,7,171,314,485
"Roseville City, Precinct 16",56,17,13,12,3,101,171,272
"Roseville City, Precinct 17",37,19,10,6,7,79,125,204
"Roseville City, Precinct 18",7,2,4,4,0,17,117,134
"Shelby Township, Precinct 1",119,68,53,36,6,282,156,438
"Shelby Township, Precinct 2",177,101,78,61,15,432,262,694
"Shelby Township, Precinct 3",80,36,41,27,4,188,122,310
"Shelby Township, Precinct 4",163,89,54,46,18,370,210,580
"Shelby Township, Precinct 5",86,96,18,13,10,223,213,436
"Shelby Township, Precinct 6",75,32,29,30,3,169,167,336
"Shelby Township, Precinct 7",185,110,66,54,10,425,251,676
"Shelby Township, Precinct 8",104,57,37,24,4,226,133,359
"Shelby Township, Precinct 9",78,30,20,19,9,156,136,292
