Precinct,"Tudor M. Dixon
Republican","Kevin Rinke
Republican","Ryan D. Kelley
Republican","Garrett Soldano
Republican","Ralph Rebandt
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Shelby Township, Precinct 10",126,63,63,34,7,293,208,501
"Shelby Township, Precinct 11",141,55,68,65,8,337,241,578
"Shelby Township, Precinct 12",142,51,46,63,8,310,151,461
"Shelby Township, Precinct 13",98,58,41,23,5,225,140,365
"Shelby Township, Precinct 14",203,114,93,29,17,456,264,720
"Shelby Township, Precinct 15",190,103,69,73,16,451,275,726
"Shelby Township, Precinct 16",297,160,89,72,22,640,380,"1,020"
"Shelby Township, Precinct 17",110,47,38,30,8,233,161,394
"Shelby Township, Precinct 18",139,64,63,44,21,331,275,606
"Shelby Township, Precinct 19",139,84,41,35,18,317,192,509
"Shelby Township, Precinct 20",78,58,36,31,8,211,189,400
"Shelby Township, Precinct 21",28,20,18,15,3,84,137,221
"Shelby Township, Precinct 22",318,132,65,69,16,600,409,"1,009"
"Shelby Township, Precinct 23",278,152,100,72,9,611,245,856
"Shelby Township, Precinct 24",364,168,96,77,21,726,361,"1,087"
"Shelby Township, Precinct 25",238,106,56,37,16,453,266,719
"Shelby Township, Precinct 26",170,94,57,52,7,380,370,750
"Shelby Township, Precinct 27",171,76,39,33,19,338,307,645
"Shelby Township, Precinct 28",197,105,69,57,10,438,436,874
"Shelby Township, Precinct 29",98,65,30,25,9,227,144,371
"Shelby Township, Precinct 30",135,100,45,43,12,335,224,559
"Shelby Township, Precinct 31",133,70,31,50,15,299,140,439
"Shelby Township, Precinct 32",104,47,34,20,6,211,109,320
"St. Clair Shores City, Precinct 1",92,52,17,21,4,186,461,647
"St. Clair Shores City, Precinct 2",152,74,36,33,4,299,536,835
"St. Clair Shores City, Precinct 3",215,189,65,37,8,514,579,"1,093"
"St. Clair Shores City, Precinct 4",136,84,32,46,9,307,424,731
"St. Clair Shores City, Precinct 5",145,116,47,23,4,335,476,811
"St. Clair Shores City, Precinct 6",73,38,30,15,4,160,260,420
"St. Clair Shores City, Precinct 7",156,96,46,39,9,346,459,805
"St. Clair Shores City, Precinct 8",95,55,20,28,3,201,217,418
"St. Clair Shores City, Precinct 9",140,67,32,29,17,285,406,691
"St. Clair Shores City, Precinct 10",223,117,47,38,12,437,488,925
"St. Clair Shores City, Precinct 11",132,67,24,43,4,270,417,687
"St. Clair Shores City, Precinct 12",291,148,57,54,12,562,549,"1,111"
"St. Clair Shores City, Precinct 13",138,68,60,56,8,330,396,726
"St. Clair Shores City, Precinct 14",152,95,35,43,16,341,385,726
"St. Clair Shores City, Precinct 15",188,111,43,49,17,408,437,845
"St. Clair Shores City, Precinct 16",165,90,37,54,21,367,382,749
"St. Clair Shores City, Precinct 17",218,105,66,56,9,454,462,916
"St. Clair Shores City, Precinct 18",182,109,60,40,12,403,478,881
"St. Clair Shores City, Precinct 19",115,99,41,42,11,308,295,603
"St. Clair Shores City, Precinct 20",127,79,55,39,7,307,317,624
"St. Clair Shores City, Precinct 21",114,73,34,42,3,266,237,503
"Sterling Heights City, Precinct 1",62,32,25,12,7,138,244,382
"Sterling Heights City, Precinct 2",107,55,35,19,18,234,331,565
"Sterling Heights City, Precinct 3",93,58,22,16,8,197,263,460
"Sterling Heights City, Precinct 4",82,64,25,22,4,197,308,505
"Sterling Heights City, Precinct 5",66,42,36,18,2,164,250,414
"Sterling Heights City, Precinct 6",84,30,27,9,5,155,211,366
"Sterling Heights City, Precinct 7",101,64,48,17,7,237,238,475
"Sterling Heights City, Precinct 8",96,52,26,22,7,203,223,426
"Sterling Heights City, Precinct 9",123,72,33,21,4,253,334,587
"Sterling Heights City, Precinct 10",151,46,41,33,7,278,299,577
"Sterling Heights City, Precinct 11",210,71,43,28,10,362,408,770
"Sterling Heights City, Precinct 12",71,26,37,23,4,161,233,394
"Sterling Heights City, Precinct 13",133,81,33,26,18,291,282,573
"Sterling Heights City, Precinct 14",200,91,40,27,6,364,385,749
"Sterling Heights City, Precinct 15",126,77,45,27,10,285,279,564
"Sterling Heights City, Precinct 16",97,73,30,14,12,226,336,562
"Sterling Heights City, Precinct 17",78,24,20,22,6,150,140,290
"Sterling Heights City, Precinct 18",124,70,33,49,15,291,256,547
"Sterling Heights City, Precinct 19",67,35,14,16,9,141,189,330
"Sterling Heights City, Precinct 20",82,27,25,20,5,159,220,379
"Sterling Heights City, Precinct 21",125,51,41,30,5,252,257,509
"Sterling Heights City, Precinct 22",110,60,44,23,13,250,306,556
"Sterling Heights City, Precinct 23",142,61,36,21,15,275,287,562
"Sterling Heights City, Precinct 24",147,93,44,23,15,322,360,682
"Sterling Heights City, Precinct 25",50,31,14,26,8,129,148,277
"Sterling Heights City, Precinct 26",114,52,24,37,10,237,314,551
"Sterling Heights City, Precinct 27",131,49,47,36,14,277,243,520
"Sterling Heights City, Precinct 28",149,74,36,31,12,302,291,593
"Sterling Heights City, Precinct 29",153,70,35,31,12,301,309,610
"Sterling Heights City, Precinct 30",190,102,44,40,15,391,358,749
"Sterling Heights City, Precinct 31",127,78,31,28,8,272,323,595
"Sterling Heights City, Precinct 32",112,45,38,34,8,237,262,499
"Sterling Heights City, Precinct 33",72,43,19,23,7,164,148,312
"Sterling Heights City, Precinct 34",116,78,33,25,19,271,344,615
"Sterling Heights City, Precinct 35",136,60,23,24,11,254,363,617
"Sterling Heights City, Precinct 36",163,82,41,24,9,319,351,670
"Sterling Heights City, Precinct 37",86,42,33,19,8,188,214,402
"Sterling Heights City, Precinct 38",132,80,20,43,19,294,340,634
"Sterling Heights City, Precinct 39",137,69,31,28,10,275,272,547
"Sterling Heights City, Precinct 40",67,40,17,15,7,146,253,399
"Sterling Heights City, Precinct 41",54,30,18,12,7,121,163,284
"Sterling Heights City, Precinct 42",100,74,45,25,6,250,415,665
"Sterling Heights City, Precinct 43",163,75,43,34,12,327,468,795
"Utica City, Precinct 1",45,20,11,10,5,91,96,187
"Utica City, Precinct 2",97,38,27,44,8,214,165,379
"Utica City, Precinct 3",68,30,26,32,1,157,211,368
"Village of Grosse Pointe Shores City, Precinct 3",10,6,7,3,0,26,12,38
"Warren City, Precinct 1",40,20,16,8,1,85,270,355
"Warren City, Precinct 2",40,17,19,5,10,91,277,368
"Warren City, Precinct 3",62,33,13,18,2,128,291,419
"Warren City, Precinct 4",57,26,13,17,3,116,290,406
"Warren City, Precinct 5",69,26,20,18,2,135,316,451
"Warren City, Precinct 6",23,11,9,4,4,51,138,189
"Warren City, Precinct 7",24,12,18,6,6,66,155,221
"Warren City, Precinct 8",36,25,14,7,0,82,160,242
"Warren City, Precinct 9",23,13,9,14,0,59,139,198
"Warren City, Precinct 10",1,0,0,0,0,1,3,4
"Warren City, Precinct 11",19,14,4,7,4,48,127,175
"Warren City, Precinct 12",24,13,11,6,1,55,69,124
"Warren City, Precinct 13",84,52,10,23,6,175,307,482
"Warren City, Precinct 14",31,14,12,16,1,74,144,218
"Warren City, Precinct 15",29,15,15,10,5,74,200,274
"Warren City, Precinct 16",42,36,8,16,2,104,161,265
"Warren City, Precinct 17",8,11,6,3,2,30,85,115
"Warren City, Precinct 18",65,43,14,21,1,144,293,437
"Warren City, Precinct 19",96,49,24,46,12,227,401,628
"Warren City, Precinct 20",102,47,32,41,2,224,334,558
"Warren City, Precinct 21",65,48,34,31,5,183,344,527
"Warren City, Precinct 22",43,15,12,12,3,85,134,219
"Warren City, Precinct 23",58,35,24,12,0,129,192,321
"Warren City, Precinct 24",18,15,7,8,3,51,132,183
"Warren City, Precinct 25",121,59,31,15,7,233,263,496
"Warren City, Precinct 26",79,35,25,32,2,173,253,426
"Warren City, Precinct 27",118,70,18,22,10,238,454,692
"Warren City, Precinct 28",134,72,32,22,11,271,451,722
"Warren City, Precinct 29",110,50,25,40,15,240,370,610
"Warren City, Precinct 30",159,82,28,26,13,308,387,695
"Warren City, Precinct 31",46,12,19,11,1,89,193,282
"Warren City, Precinct 32",108,50,19,27,11,215,360,575
"Warren City, Precinct 33",44,42,7,15,1,109,221,330
"Warren City, Precinct 34",54,14,11,19,5,103,262,365
"Warren City, Precinct 35",63,22,14,18,4,121,199,320
"Warren City, Precinct 36",115,65,34,27,9,250,369,619
"Warren City, Precinct 37",97,59,30,35,7,228,409,637
"Warren City, Precinct 38",95,69,13,27,9,213,280,493
"Warren City, Precinct 39",63,30,17,13,7,130,309,439
"Warren City, Precinct 40",75,38,24,26,5,168,327,495
"Warren City, Precinct 41",65,30,21,13,3,132,247,379
"Warren City, Precinct 42",126,70,57,20,11,284,378,662
"Warren City, Precinct 43",43,41,12,10,1,107,276,383
"Warren City, Precinct 44",131,69,50,35,12,297,426,723
"Warren City, Precinct 45",88,63,50,35,7,243,308,551
"Warren City, Precinct 46",143,65,47,37,7,299,436,735
"Warren City, Precinct 47",76,49,29,18,3,175,204,379
"Warren City, Precinct 48",79,36,21,27,13,176,213,389
"Warren City, Precinct 49",106,67,49,38,4,264,336,600
"Warren City, Precinct 50",99,45,41,21,8,214,293,507
"Warren City, Precinct 51",52,20,25,16,2,115,185,300
"Warren City, Precinct 52",107,63,24,23,18,235,252,487
"Warren City, Precinct 53",157,100,42,50,6,355,423,778
"Washington Township, Precinct 1",92,51,56,34,8,241,141,382
"Washington Township, Precinct 10",169,72,50,54,11,356,186,542
"Washington Township, Precinct 11",214,79,48,37,7,385,161,546
"Washington Township, Precinct 12",92,53,42,32,11,230,98,328
"Washington Township, Precinct 2",158,92,55,56,14,375,226,601
"Washington Township, Precinct 3",224,125,108,70,17,544,269,813
"Washington Township, Precinct 4",165,64,60,45,12,346,186,532
"Washington Township, Precinct 5",250,129,111,60,10,560,200,760
"Washington Township, Precinct 6",315,173,91,65,26,670,297,967
"Washington Township, Precinct 7",259,160,79,75,16,589,224,813
"Washington Township, Precinct 8",189,138,44,50,13,434,274,708
"Washington Township, Precinct 9",132,60,56,25,4,277,112,389
Totals,"39,384","21,518","12,266","10,937","2,894","86,999","88,537","175,536"

