Precinct,"Harold L. Haugh
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"4,958","4,958","6,471","11,429"
"Clinton Township, Precinct 33",18,18,415,433
"Clinton Township, Precinct 39",158,158,171,329
"Clinton Township, Precinct 40",170,170,238,408
"Fraser City, Precinct 1",152,152,254,406
"Fraser City, Precinct 2",201,201,434,635
"Fraser City, Precinct 3",293,293,374,667
"Fraser City, Precinct 4",199,199,310,509
"Fraser City, Precinct 5",82,82,95,177
"Fraser City, Precinct 6",269,269,452,721
"Fraser City, Precinct 7",168,168,196,364
"Roseville City, Precinct 1",185,185,235,420
"Roseville City, Precinct 2",220,220,321,541
"Roseville City, Precinct 3",220,220,164,384
"Roseville City, Precinct 4",134,134,156,290
"Roseville City, Precinct 5",187,187,212,399
"Roseville City, Precinct 6",141,141,192,333
"Roseville City, Precinct 7",176,176,190,366
"Roseville City, Precinct 8",233,233,250,483
"Roseville City, Precinct 9",283,283,357,640
"Roseville City, Precinct 10",137,137,178,315
"Roseville City, Precinct 11",207,207,217,424
"Roseville City, Precinct 12",183,183,165,348
"Roseville City, Precinct 13",196,196,168,364
"Roseville City, Precinct 14",167,167,211,378
"Roseville City, Precinct 15",251,251,234,485
"Roseville City, Precinct 16",131,131,141,272
"Roseville City, Precinct 17",103,103,101,204
"Roseville City, Precinct 18",94,94,40,134
Totals,"4,958","4,958","6,471","11,429"

