Precinct,"Robert Mijac
Democratic","Pashko Ujkic
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"3,272","1,091","4,363","5,346","9,709"
"Sterling Heights City, Precinct 1",130,66,196,186,382
"Sterling Heights City, Precinct 2",158,124,282,283,565
"Sterling Heights City, Precinct 3",149,47,196,264,460
"Sterling Heights City, Precinct 4",171,92,263,242,505
"Sterling Heights City, Precinct 5",161,51,212,202,414
"Sterling Heights City, Precinct 6",114,66,180,186,366
"Sterling Heights City, Precinct 7",153,40,193,282,475
"Sterling Heights City, Precinct 8",153,30,183,243,426
"Sterling Heights City, Precinct 9",242,40,282,305,587
"Sterling Heights City, Precinct 10",200,51,251,326,577
"Sterling Heights City, Precinct 11",257,63,320,450,770
"Sterling Heights City, Precinct 12",134,59,193,201,394
"Sterling Heights City, Precinct 13",179,43,222,351,573
"Sterling Heights City, Precinct 14",226,77,303,446,749
"Sterling Heights City, Precinct 15",179,43,222,342,564
"Sterling Heights City, Precinct 16",208,59,267,295,562
"Sterling Heights City, Precinct 17",97,29,126,164,290
"Sterling Heights City, Precinct 26",193,74,267,284,551
"Sterling Heights City, Precinct 32",168,37,205,294,499
Totals,"3,272","1,091","4,363","5,346","9,709"

