Precinct,"Gretchen Whitmer
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
Totals,"73,235","73,235","102,301","175,536"
"Armada Township, Precinct 1",190,190,651,841
"Armada Township, Precinct 2",109,109,496,605
"Bruce Township, Precinct 1",138,138,283,421
"Bruce Township, Precinct 2",185,185,659,844
"Bruce Township, Precinct 3",149,149,448,597
"Bruce Township, Precinct 4",126,126,531,657
"Center Line City, Precinct 1",164,164,182,346
"Center Line City, Precinct 2",167,167,108,275
"Center Line City, Precinct 3",199,199,145,344
"Center Line City, Precinct 4",107,107,123,230
"Center Line City, Precinct 5",114,114,82,196
"Chesterfield Township, Precinct 1",270,270,487,757
"Chesterfield Township, Precinct 2",216,216,429,645
"Chesterfield Township, Precinct 3",152,152,402,554
"Chesterfield Township, Precinct 4",159,159,293,452
"Chesterfield Township, Precinct 5",226,226,424,650
"Chesterfield Township, Precinct 6",182,182,372,554
"Chesterfield Township, Precinct 7",128,128,278,406
"Chesterfield Township, Precinct 8",127,127,323,450
"Chesterfield Township, Precinct 9",222,222,358,580
"Chesterfield Township, Precinct 10",236,236,732,968
"Chesterfield Township, Precinct 11",134,134,288,422
"Chesterfield Township, Precinct 12",232,232,304,536
"Chesterfield Township, Precinct 13",240,240,467,707
"Chesterfield Township, Precinct 14",119,119,278,397
"Chesterfield Township, Precinct 15",257,257,527,784
"Chesterfield Township, Precinct 16",203,203,405,608
"Chesterfield Township, Precinct 17",92,92,116,208
"Chesterfield Township, Precinct 18",113,113,248,361
"Chesterfield Township, Precinct 19",164,164,242,406
"Clinton Township, Precinct 1",236,236,211,447
"Clinton Township, Precinct 2",275,275,278,553
"Clinton Township, Precinct 3",217,217,362,579
"Clinton Township, Precinct 4",266,266,359,625
"Clinton Township, Precinct 5",112,112,53,165
"Clinton Township, Precinct 6",177,177,123,300
"Clinton Township, Precinct 7",213,213,289,502
"Clinton Township, Precinct 8",340,340,399,739
"Clinton Township, Precinct 9",372,372,494,866
"Clinton Township, Precinct 10",191,191,322,513
"Clinton Township, Precinct 11",282,282,477,759
"Clinton Township, Precinct 12",193,193,302,495
"Clinton Township, Precinct 13",110,110,203,313
"Clinton Township, Precinct 14",179,179,102,281
"Clinton Township, Precinct 15",260,260,344,604
"Clinton Township, Precinct 16",412,412,523,935
"Clinton Township, Precinct 17",188,188,238,426
"Clinton Township, Precinct 18",218,218,313,531
"Clinton Township, Precinct 19",170,170,205,375
"Clinton Township, Precinct 20",242,242,237,479
"Clinton Township, Precinct 21",230,230,212,442
"Clinton Township, Precinct 22",215,215,371,586
"Clinton Township, Precinct 23",274,274,477,751
"Clinton Township, Precinct 24",95,95,180,275
"Clinton Township, Precinct 25",177,177,342,519
"Clinton Township, Precinct 26",282,282,213,495
"Clinton Township, Precinct 27",204,204,242,446
"Clinton Township, Precinct 28",286,286,310,596
"Clinton Township, Precinct 29",132,132,210,342
"Clinton Township, Precinct 30",261,261,296,557
"Clinton Township, Precinct 31",168,168,237,405
"Clinton Township, Precinct 32",163,163,245,408
"Clinton Township, Precinct 33",193,193,240,433
"Clinton Township, Precinct 34",177,177,186,363
"Clinton Township, Precinct 35",213,213,311,524
"Clinton Township, Precinct 36",108,108,155,263
"Clinton Township, Precinct 37",287,287,293,580
"Clinton Township, Precinct 38",232,232,168,400
"Clinton Township, Precinct 39",167,167,162,329
"Clinton Township, Precinct 40",187,187,221,408
"Clinton Township, Precinct 41",208,208,29,237
"Clinton Township, Precinct 42",273,273,285,558
"Eastpointe City, Precinct 1",209,209,75,284
"Eastpointe City, Precinct 2",300,300,128,428
"Eastpointe City, Precinct 3",240,240,154,394
"Eastpointe City, Precinct 4",249,249,154,403
"Eastpointe City, Precinct 5",235,235,123,358
"Eastpointe City, Precinct 6",255,255,123,378
"Eastpointe City, Precinct 7",235,235,71,306
"Eastpointe City, Precinct 8",379,379,84,463
"Eastpointe City, Precinct 9",258,258,66,324
"Eastpointe City, Precinct 10",142,142,94,236
"Eastpointe City, Precinct 11",232,232,112,344
"Eastpointe City, Precinct 12",404,404,188,592
"Eastpointe City, Precinct 13",174,174,54,228
"Eastpointe City, Precinct 14",301,301,100,401
"Fraser City, Precinct 1",165,165,241,406
"Fraser City, Precinct 2",247,247,388,635
"Fraser City, Precinct 3",323,323,344,667
"Fraser City, Precinct 4",233,233,276,509
"Fraser City, Precinct 5",92,92,85,177
"Fraser City, Precinct 6",319,319,402,721
"Fraser City, Precinct 7",192,192,172,364
"Village of Grosse Pointe Shores City, Precinct 3",5,5,33,38
"Harrison Township, Precinct 1",217,217,312,529
"Harrison Township, Precinct 2",337,337,414,751
"Harrison Township, Precinct 3",226,226,461,687
"Harrison Township, Precinct 4",242,242,431,673
"Harrison Township, Precinct 5",186,186,655,841
"Harrison Township, Precinct 6",242,242,442,684
"Harrison Township, Precinct 7",254,254,534,788
"Harrison Township, Precinct 8",189,189,201,390
"Harrison Township, Precinct 9",168,168,530,698
"Harrison Township, Precinct 10",197,197,417,614
"Lenox Township, Precinct 1",104,104,344,448
"Lenox Township, Precinct 2",160,160,420,580
"Lenox Township, Precinct 3",219,219,261,480
"Lenox Township, Precinct 4",68,68,96,164
"Macomb Township, Precinct 1",228,228,344,572
"Macomb Township, Precinct 2",190,190,250,440
"Macomb Township, Precinct 3",302,302,375,677
"Macomb Township, Precinct 4",170,170,227,397
"Macomb Township, Precinct 5",177,177,177,354
"Macomb Township, Precinct 6",207,207,248,455
"Macomb Township, Precinct 7",194,194,375,569
"Macomb Township, Precinct 8",291,291,492,783
"Macomb Township, Precinct 9",65,65,136,201
"Macomb Township, Precinct 10",323,323,483,806
"Macomb Township, Precinct 11",228,228,390,618
"Macomb Township, Precinct 12",64,64,181,245
"Macomb Township, Precinct 13",285,285,507,792
"Macomb Township, Precinct 14",228,228,348,576
"Macomb Township, Precinct 15",211,211,534,745
"Macomb Township, Precinct 16",220,220,392,612
"Macomb Township, Precinct 17",242,242,481,723
"Macomb Township, Precinct 18",90,90,72,162
"Macomb Township, Precinct 19",213,213,404,617
"Macomb Township, Precinct 20",210,210,425,635
"Macomb Township, Precinct 21",192,192,310,502
"Macomb Township, Precinct 22",131,131,315,446
"Macomb Township, Precinct 23",375,375,532,907
"Macomb Township, Precinct 24",276,276,427,703
