Contest,Candidate,Party,Precinct,Votes
Governor for State (DEM),Gretchen Whitmer,,Broomfield Township Precinct 1,95
Governor for State (DEM),Write-In (WRITE-IN),,Broomfield Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Chippewa Township Precinct 1,145
Governor for State (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 1,1
Governor for State (DEM),Gretchen Whitmer,,Chippewa Township Precinct 2,87
Governor for State (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 2,0
Governor for State (DEM),Gretchen Whitmer,,City of Clare Precinct 1,0
Governor for State (DEM),Write-In (WRITE-IN),,City of Clare Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,City of Mt. Pleasant Precinct 1,183
Governor for State (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,City of Mt. Pleasant Precinct 2,285
Governor for State (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 2,1
Governor for State (DEM),Gretchen Whitmer,,City of Mt. Pleasant Precinct 3,362
Governor for State (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 3,0
Governor for State (DEM),Gretchen Whitmer,,City of Mt. Pleasant Precinct 4,205
Governor for State (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 4,0
Governor for State (DEM),Gretchen Whitmer,,City of Mt. Pleasant Precinct 5,281
Governor for State (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 5,0
Governor for State (DEM),Gretchen Whitmer,,Coe Township Precinct 1,101
Governor for State (DEM),Write-In (WRITE-IN),,Coe Township Precinct 1,1
Governor for State (DEM),Gretchen Whitmer,,Coe Township Precinct 2,86
Governor for State (DEM),Write-In (WRITE-IN),,Coe Township Precinct 2,0
Governor for State (DEM),Gretchen Whitmer,,Coldwater Township Precinct 1,31
Governor for State (DEM),Write-In (WRITE-IN),,Coldwater Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Deerfield Township Precinct 1,187
Governor for State (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 1,0
